item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,short,object,nonfinal,6,0,As,19.27421760559082
critical,1,ambiguous,short,object,nonfinal,6,1,the,2.6874070167541504
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,20.09003734588623
critical,1,ambiguous,short,object,nonfinal,6,3,watched,8.39416790008545
critical,1,ambiguous,short,object,nonfinal,6,4,the,2.30175518989563
critical,1,ambiguous,short,object,nonfinal,6,5,kids,7.946290016174316
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,13.420820713043211
critical,1,ambiguous,short,object,nonfinal,6,7,each,10.581077575683594
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.0690186992287635
critical,1,ambiguous,short,object,nonfinal,6,9,with,2.00558876991272
critical,1,ambiguous,short,object,nonfinal,6,10,water.,10.367307722568512
critical,1,ambiguous,long,object,nonfinal,8,0,As,19.27421760559082
critical,1,ambiguous,long,object,nonfinal,8,1,the,2.6874070167541504
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,20.09003734588623
critical,1,ambiguous,long,object,nonfinal,8,3,watched,8.39416790008545
critical,1,ambiguous,long,object,nonfinal,8,4,the,2.30175518989563
critical,1,ambiguous,long,object,nonfinal,8,5,kids,7.946290016174316
critical,1,ambiguous,long,object,nonfinal,8,6,playing,5.166067123413086
critical,1,ambiguous,long,object,nonfinal,8,7,happily,11.263254165649414
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,19.549939155578613
critical,1,ambiguous,long,object,nonfinal,8,9,each,10.844890594482422
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.0462261848151683
critical,1,ambiguous,long,object,nonfinal,8,11,with,1.8189655542373655
critical,1,ambiguous,long,object,nonfinal,8,12,water.,9.001888036727905
critical,1,unambiguous,short,object,nonfinal,8,0,As,19.27421760559082
critical,1,unambiguous,short,object,nonfinal,8,1,the,2.6874070167541504
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,20.09003734588623
critical,1,unambiguous,short,object,nonfinal,8,3,watched,8.39416790008545
critical,1,unambiguous,short,object,nonfinal,8,4,the,2.30175518989563
critical,1,unambiguous,short,object,nonfinal,8,5,pool,6.857963562011719
critical,1,unambiguous,short,object,nonfinal,8,6,the,8.374032974243164
critical,1,unambiguous,short,object,nonfinal,8,7,kids,8.776954650878906
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,6.94440433382988
critical,1,unambiguous,short,object,nonfinal,8,9,each,5.899095058441162
critical,1,unambiguous,short,object,nonfinal,8,10,other,0.0307656321674585
critical,1,unambiguous,short,object,nonfinal,8,11,with,3.133065700531006
critical,1,unambiguous,short,object,nonfinal,8,12,water.,6.656305313110352
critical,1,unambiguous,long,object,nonfinal,10,0,As,19.27421760559082
critical,1,unambiguous,long,object,nonfinal,10,1,the,2.6874070167541504
