item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,short,object,nonfinal,6,0,As,18.92782974243164
critical,1,ambiguous,short,object,nonfinal,6,1,the,3.4079036712646484
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,19.400759279727936
critical,1,ambiguous,short,object,nonfinal,6,3,watched,11.33396816253662
critical,1,ambiguous,short,object,nonfinal,6,4,the,1.8335620164871216
critical,1,ambiguous,short,object,nonfinal,6,5,kids,6.390337467193604
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,14.47483730316162
critical,1,ambiguous,short,object,nonfinal,6,7,each,7.848069190979004
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.028152871876955
critical,1,ambiguous,short,object,nonfinal,6,9,with,4.79049825668335
critical,1,ambiguous,short,object,nonfinal,6,10,water.,8.032893896102905
critical,1,ambiguous,long,object,nonfinal,8,0,As,18.92782974243164
critical,1,ambiguous,long,object,nonfinal,8,1,the,3.4079036712646484
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,19.400759279727936
critical,1,ambiguous,long,object,nonfinal,8,3,watched,11.33396816253662
critical,1,ambiguous,long,object,nonfinal,8,4,the,1.8335620164871216
critical,1,ambiguous,long,object,nonfinal,8,5,kids,6.390337467193604
critical,1,ambiguous,long,object,nonfinal,8,6,playing,4.529394149780273
critical,1,ambiguous,long,object,nonfinal,8,7,happily,11.142306327819824
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,20.251219749450684
critical,1,ambiguous,long,object,nonfinal,8,9,each,7.964030742645264
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.0400375612080097
critical,1,ambiguous,long,object,nonfinal,8,11,with,3.485326051712036
critical,1,ambiguous,long,object,nonfinal,8,12,water.,7.413719415664673
critical,1,unambiguous,short,object,nonfinal,8,0,As,18.92782974243164
critical,1,unambiguous,short,object,nonfinal,8,1,the,3.4079036712646484
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,19.400759279727936
critical,1,unambiguous,short,object,nonfinal,8,3,watched,11.33396816253662
critical,1,unambiguous,short,object,nonfinal,8,4,the,1.8335620164871216
critical,1,unambiguous,short,object,nonfinal,8,5,pool,6.654643058776856
critical,1,unambiguous,short,object,nonfinal,8,6,the,9.628923416137695
critical,1,unambiguous,short,object,nonfinal,8,7,kids,6.094516277313232
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,6.893945306539536
critical,1,unambiguous,short,object,nonfinal,8,9,each,5.93187141418457
critical,1,unambiguous,short,object,nonfinal,8,10,other,0.017123969271779
critical,1,unambiguous,short,object,nonfinal,8,11,with,4.816555500030518
critical,1,unambiguous,short,object,nonfinal,8,12,water.,5.243880271911621
critical,1,unambiguous,long,object,nonfinal,10,0,As,18.92782974243164
critical,1,unambiguous,long,object,nonfinal,10,1,the,3.4079036712646484
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,19.400759279727936
critical,1,unambiguous,long,object,nonfinal,10,3,watched,11.33396816253662
critical,1,unambiguous,long,object,nonfinal,10,4,the,1.8335620164871216
critical,1,unambiguous,long,object,nonfinal,10,5,pool,6.654643058776856
critical,1,unambiguous,long,object,nonfinal,10,6,the,9.628923416137695
critical,1,unambiguous,long,object,nonfinal,10,7,kids,6.094516277313232
critical,1,unambiguous,long,object,nonfinal,10,8,playing,6.875926971435547
critical,1,unambiguous,long,object,nonfinal,10,9,happily,9.921188354492188
critical,1,unambiguous,long,object,nonfinal,10,10,splashed,12.378535151481628
critical,1,unambiguous,long,object,nonfinal,10,11,each,4.477895736694336
critical,1,unambiguous,long,object,nonfinal,10,12,other,0.0186924505978822
critical,1,unambiguous,long,object,nonfinal,10,13,with,3.873684883117676
critical,1,unambiguous,long,object,nonfinal,10,14,water.,3.9510577917099
