item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,object,nonfinal,8,0,As,7.8977556228637695
critical,1,ambiguous,long,object,nonfinal,8,1,the,2.5009360313415527
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,28.12384605407715
critical,1,ambiguous,long,object,nonfinal,8,3,watched,8.086267471313477
critical,1,ambiguous,long,object,nonfinal,8,4,the,1.5784649848937988
critical,1,ambiguous,long,object,nonfinal,8,5,kids,5.728252410888672
critical,1,ambiguous,long,object,nonfinal,8,6,playing,3.132018804550171
critical,1,ambiguous,long,object,nonfinal,8,7,happily,8.474289894104004
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,14.612493515014648
critical,1,ambiguous,long,object,nonfinal,8,9,each,9.02722454071045
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.084970436990261
critical,1,ambiguous,long,object,nonfinal,8,11,with,1.6083019971847534
critical,1,ambiguous,long,object,nonfinal,8,12,water.,4.791150629520416
critical,1,ambiguous,short,object,nonfinal,6,0,As,7.8977556228637695
critical,1,ambiguous,short,object,nonfinal,6,1,the,2.5009360313415527
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,28.12384605407715
critical,1,ambiguous,short,object,nonfinal,6,3,watched,8.086267471313477
critical,1,ambiguous,short,object,nonfinal,6,4,the,1.5784649848937988
critical,1,ambiguous,short,object,nonfinal,6,5,kids,5.728252410888672
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,10.282970428466797
critical,1,ambiguous,short,object,nonfinal,6,7,each,8.931741714477539
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.040087092667818
critical,1,ambiguous,short,object,nonfinal,6,9,with,1.9371713399887085
critical,1,ambiguous,short,object,nonfinal,6,10,water.,8.325457274913788
critical,1,unambiguous,long,object,nonfinal,10,0,As,7.8977556228637695
critical,1,unambiguous,long,object,nonfinal,10,1,the,2.5009360313415527
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,28.12384605407715
critical,1,unambiguous,long,object,nonfinal,10,3,watched,8.086267471313477
critical,1,unambiguous,long,object,nonfinal,10,4,the,1.5784649848937988
critical,1,unambiguous,long,object,nonfinal,10,5,pool,8.066397666931152
critical,1,unambiguous,long,object,nonfinal,10,6,the,7.984642505645752
critical,1,unambiguous,long,object,nonfinal,10,7,kids,5.058329105377197
critical,1,unambiguous,long,object,nonfinal,10,8,playing,5.98782205581665
critical,1,unambiguous,long,object,nonfinal,10,9,happily,9.040360450744627
critical,1,unambiguous,long,object,nonfinal,10,10,splashed,6.571726799011231
critical,1,unambiguous,long,object,nonfinal,10,11,each,6.121830940246582
critical,1,unambiguous,long,object,nonfinal,10,12,other,0.0510692149400711
critical,1,unambiguous,long,object,nonfinal,10,13,with,2.444145917892456
critical,1,unambiguous,long,object,nonfinal,10,14,water.,1.6460968852043152
critical,1,unambiguous,short,object,nonfinal,8,0,As,7.8977556228637695
critical,1,unambiguous,short,object,nonfinal,8,1,the,2.5009360313415527
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,28.12384605407715
critical,1,unambiguous,short,object,nonfinal,8,3,watched,8.086267471313477
critical,1,unambiguous,short,object,nonfinal,8,4,the,1.5784649848937988
critical,1,unambiguous,short,object,nonfinal,8,5,pool,8.066397666931152
critical,1,unambiguous,short,object,nonfinal,8,6,the,7.984642505645752
critical,1,unambiguous,short,object,nonfinal,8,7,kids,5.058329105377197
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,4.236582279205322
critical,1,unambiguous,short,object,nonfinal,8,9,each,8.270109176635742
critical,1,unambiguous,short,object,nonfinal,8,10,other,0.0577063709497451
critical,1,unambiguous,short,object,nonfinal,8,11,with,2.686165332794189
critical,1,unambiguous,short,object,nonfinal,8,12,water.,2.848811388015747
critical,2,ambiguous,long,comma,nonfinal,9,0,Because,15.85752010345459
critical,2,ambiguous,long,comma,nonfinal,9,1,the,2.919984817504883
critical,2,ambiguous,long,comma,nonfinal,9,2,suspect,17.485641479492188
critical,2,ambiguous,long,comma,nonfinal,9,3,changed,11.167704582214355
critical,2,ambiguous,long,comma,nonfinal,9,4,the,3.0167243480682373
critical,2,ambiguous,long,comma,nonfinal,9,5,file,12.227860450744627
critical,2,ambiguous,long,comma,nonfinal,9,6,with,6.398982048034668
critical,2,ambiguous,long,comma,nonfinal,9,7,the,1.5173382759094238
critical,2,ambiguous,long,comma,nonfinal,9,8,evidence,7.888176918029785
critical,2,ambiguous,long,comma,nonfinal,9,9,needed,12.206192016601562
critical,2,ambiguous,long,comma,nonfinal,9,10,to,1.2499643564224243
critical,2,ambiguous,long,comma,nonfinal,9,11,be,2.844639778137207
critical,2,ambiguous,long,comma,nonfinal,9,12,updated.,11.507116556167604
critical,2,ambiguous,short,comma,nonfinal,6,0,Because,15.85752010345459
critical,2,ambiguous,short,comma,nonfinal,6,1,the,2.919984817504883
critical,2,ambiguous,short,comma,nonfinal,6,2,suspect,17.485641479492188
critical,2,ambiguous,short,comma,nonfinal,6,3,changed,11.167704582214355
critical,2,ambiguous,short,comma,nonfinal,6,4,the,3.0167243480682373
critical,2,ambiguous,short,comma,nonfinal,6,5,file,12.227860450744627
critical,2,ambiguous,short,comma,nonfinal,6,6,needed,17.32807159423828
critical,2,ambiguous,short,comma,nonfinal,6,7,to,0.9368183612823486
critical,2,ambiguous,short,comma,nonfinal,6,8,be,2.885164499282837
critical,2,ambiguous,short,comma,nonfinal,6,9,updated.,7.060000419616699
critical,2,unambiguous,long,comma,nonfinal,9,0,Because,15.85752010345459
critical,2,unambiguous,long,comma,nonfinal,9,1,the,2.919984817504883
critical,2,unambiguous,long,comma,nonfinal,9,2,suspect,17.485641479492188
critical,2,unambiguous,long,comma,nonfinal,9,3,"changed,",17.58316946029663
critical,2,unambiguous,long,comma,nonfinal,9,4,the,1.4365862607955933
critical,2,unambiguous,long,comma,nonfinal,9,5,file,11.975692749023438
critical,2,unambiguous,long,comma,nonfinal,9,6,with,6.737249851226807
critical,2,unambiguous,long,comma,nonfinal,9,7,the,0.4627709090709686
critical,2,unambiguous,long,comma,nonfinal,9,8,evidence,7.848450183868408
critical,2,unambiguous,long,comma,nonfinal,9,9,needed,7.875718593597412
critical,2,unambiguous,long,comma,nonfinal,9,10,to,0.1744344383478164
critical,2,unambiguous,long,comma,nonfinal,9,11,be,0.430171251296997
critical,2,unambiguous,long,comma,nonfinal,9,12,updated.,4.83884060382843
critical,2,unambiguous,short,comma,nonfinal,6,0,Because,15.85752010345459
critical,2,unambiguous,short,comma,nonfinal,6,1,the,2.919984817504883
critical,2,unambiguous,short,comma,nonfinal,6,2,suspect,17.485641479492188
critical,2,unambiguous,short,comma,nonfinal,6,3,"changed,",17.58316946029663
critical,2,unambiguous,short,comma,nonfinal,6,4,the,1.4365862607955933
critical,2,unambiguous,short,comma,nonfinal,6,5,file,11.975692749023438
critical,2,unambiguous,short,comma,nonfinal,6,6,needed,9.489521026611328
critical,2,unambiguous,short,comma,nonfinal,6,7,to,0.1910493373870849
critical,2,unambiguous,short,comma,nonfinal,6,8,be,0.150948479771614
critical,2,unambiguous,short,comma,nonfinal,6,9,updated.,3.40439236164093
critical,3,ambiguous,long,object,nonfinal,11,0,While,11.34129524230957
critical,3,ambiguous,long,object,nonfinal,11,1,the,2.07014274597168
critical,3,ambiguous,long,object,nonfinal,11,2,new,5.612490177154541
critical,3,ambiguous,long,object,nonfinal,11,3,chef,18.5830078125
critical,3,ambiguous,long,object,nonfinal,11,4,cooked,15.49400806427002
critical,3,ambiguous,long,object,nonfinal,11,5,the,3.5386765003204346
critical,3,ambiguous,long,object,nonfinal,11,6,stew,11.52712631225586
critical,3,ambiguous,long,object,nonfinal,11,7,with,5.601367473602295
critical,3,ambiguous,long,object,nonfinal,11,8,lamb,7.16265344619751
critical,3,ambiguous,long,object,nonfinal,11,9,and,2.2253618240356445
critical,3,ambiguous,long,object,nonfinal,11,10,vegetables,3.499717712402344
critical,3,ambiguous,long,object,nonfinal,11,11,boiled,14.90838623046875
critical,3,ambiguous,long,object,nonfinal,11,12,over.,15.176273345947266
critical,3,ambiguous,short,object,nonfinal,7,0,While,11.34129524230957
critical,3,ambiguous,short,object,nonfinal,7,1,the,2.07014274597168
critical,3,ambiguous,short,object,nonfinal,7,2,new,5.612490177154541
critical,3,ambiguous,short,object,nonfinal,7,3,chef,18.5830078125
critical,3,ambiguous,short,object,nonfinal,7,4,cooked,15.49400806427002
critical,3,ambiguous,short,object,nonfinal,7,5,the,3.5386765003204346
critical,3,ambiguous,short,object,nonfinal,7,6,stew,11.52712631225586
critical,3,ambiguous,short,object,nonfinal,7,7,boiled,17.72124671936035
critical,3,ambiguous,short,object,nonfinal,7,8,over.,10.687791347503662
critical,3,unambiguous,long,object,nonfinal,13,0,While,11.34129524230957
critical,3,unambiguous,long,object,nonfinal,13,1,the,2.07014274597168
critical,3,unambiguous,long,object,nonfinal,13,2,new,5.612490177154541
critical,3,unambiguous,long,object,nonfinal,13,3,chef,18.5830078125
critical,3,unambiguous,long,object,nonfinal,13,4,cooked,15.49400806427002
critical,3,unambiguous,long,object,nonfinal,13,5,the,3.5386765003204346
critical,3,unambiguous,long,object,nonfinal,13,6,appetizers,6.875969409942627
critical,3,unambiguous,long,object,nonfinal,13,7,the,7.346611976623535
critical,3,unambiguous,long,object,nonfinal,13,8,stew,17.47522735595703
critical,3,unambiguous,long,object,nonfinal,13,9,with,9.249710083007812
critical,3,unambiguous,long,object,nonfinal,13,10,lamb,4.56893253326416
critical,3,unambiguous,long,object,nonfinal,13,11,and,1.988356113433838
critical,3,unambiguous,long,object,nonfinal,13,12,vegetables,3.39434027671814
critical,3,unambiguous,long,object,nonfinal,13,13,boiled,7.826783180236816
critical,3,unambiguous,long,object,nonfinal,13,14,over.,8.052475214004517
critical,3,unambiguous,short,object,nonfinal,9,0,While,11.34129524230957
critical,3,unambiguous,short,object,nonfinal,9,1,the,2.07014274597168
critical,3,unambiguous,short,object,nonfinal,9,2,new,5.612490177154541
critical,3,unambiguous,short,object,nonfinal,9,3,chef,18.5830078125
critical,3,unambiguous,short,object,nonfinal,9,4,cooked,15.49400806427002
critical,3,unambiguous,short,object,nonfinal,9,5,the,3.5386765003204346
critical,3,unambiguous,short,object,nonfinal,9,6,appetizers,6.875969409942627
critical,3,unambiguous,short,object,nonfinal,9,7,the,7.346611976623535
critical,3,unambiguous,short,object,nonfinal,9,8,stew,17.47522735595703
critical,3,unambiguous,short,object,nonfinal,9,9,boiled,10.197955131530762
critical,3,unambiguous,short,object,nonfinal,9,10,over.,6.956932067871094
critical,4,ambiguous,long,comma,nonfinal,8,0,As,7.8977556228637695
critical,4,ambiguous,long,comma,nonfinal,8,1,the,2.5009360313415527
critical,4,ambiguous,long,comma,nonfinal,8,2,child,12.86805248260498
critical,4,ambiguous,long,comma,nonfinal,8,3,showered,21.07290267944336
critical,4,ambiguous,long,comma,nonfinal,8,4,the,3.3645503520965576
critical,4,ambiguous,long,comma,nonfinal,8,5,cat,9.583829879760742
critical,4,ambiguous,long,comma,nonfinal,8,6,complaining,24.519407272338867
critical,4,ambiguous,long,comma,nonfinal,8,7,loudly,8.184246063232422
critical,4,ambiguous,long,comma,nonfinal,8,8,ran,18.49005508422852
critical,4,ambiguous,long,comma,nonfinal,8,9,around,5.408262729644775
critical,4,ambiguous,long,comma,nonfinal,8,10,the,0.908332586288452
critical,4,ambiguous,long,comma,nonfinal,8,11,room.,5.50142240524292
critical,4,ambiguous,short,comma,nonfinal,6,0,As,7.8977556228637695
critical,4,ambiguous,short,comma,nonfinal,6,1,the,2.5009360313415527
critical,4,ambiguous,short,comma,nonfinal,6,2,child,12.86805248260498
critical,4,ambiguous,short,comma,nonfinal,6,3,showered,21.07290267944336
critical,4,ambiguous,short,comma,nonfinal,6,4,the,3.3645503520965576
critical,4,ambiguous,short,comma,nonfinal,6,5,cat,9.583829879760742
critical,4,ambiguous,short,comma,nonfinal,6,6,ran,19.003814697265625
critical,4,ambiguous,short,comma,nonfinal,6,7,around,5.055709362030029
critical,4,ambiguous,short,comma,nonfinal,6,8,the,1.1682162284851074
critical,4,ambiguous,short,comma,nonfinal,6,9,room.,4.830412149429321
critical,4,unambiguous,long,comma,nonfinal,8,0,As,7.8977556228637695
critical,4,unambiguous,long,comma,nonfinal,8,1,the,2.5009360313415527
critical,4,unambiguous,long,comma,nonfinal,8,2,child,12.86805248260498
critical,4,unambiguous,long,comma,nonfinal,8,3,"showered,",25.08251428604126
critical,4,unambiguous,long,comma,nonfinal,8,4,the,2.4290692806243896
