item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,object,nonfinal,8,0,As,19.27421760559082
critical,1,ambiguous,long,object,nonfinal,8,1,the,2.6874070167541504
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,20.09003734588623
critical,1,ambiguous,long,object,nonfinal,8,3,watched,8.39416790008545
critical,1,ambiguous,long,object,nonfinal,8,4,the,2.30175518989563
critical,1,ambiguous,long,object,nonfinal,8,5,kids,7.946290016174316
critical,1,ambiguous,long,object,nonfinal,8,6,playing,5.166067123413086
critical,1,ambiguous,long,object,nonfinal,8,7,happily,11.263254165649414
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,19.549939155578613
critical,1,ambiguous,long,object,nonfinal,8,9,each,10.844890594482422
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.0462261848151683
critical,1,ambiguous,long,object,nonfinal,8,11,with,1.8189655542373655
critical,1,ambiguous,long,object,nonfinal,8,12,water.,9.001888036727905
critical,1,ambiguous,short,object,nonfinal,6,0,As,19.27421760559082
critical,1,ambiguous,short,object,nonfinal,6,1,the,2.6874070167541504
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,20.09003734588623
critical,1,ambiguous,short,object,nonfinal,6,3,watched,8.39416790008545
critical,1,ambiguous,short,object,nonfinal,6,4,the,2.30175518989563
critical,1,ambiguous,short,object,nonfinal,6,5,kids,7.946290016174316
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,13.420820713043211
critical,1,ambiguous,short,object,nonfinal,6,7,each,10.581077575683594
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.0690186992287635
critical,1,ambiguous,short,object,nonfinal,6,9,with,2.00558876991272
critical,1,ambiguous,short,object,nonfinal,6,10,water.,10.367307722568512
critical,1,unambiguous,long,object,nonfinal,10,0,As,19.27421760559082
critical,1,unambiguous,long,object,nonfinal,10,1,the,2.6874070167541504
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,20.09003734588623
critical,1,unambiguous,long,object,nonfinal,10,3,watched,8.39416790008545
critical,1,unambiguous,long,object,nonfinal,10,4,the,2.30175518989563
critical,1,unambiguous,long,object,nonfinal,10,5,pool,6.857963562011719
critical,1,unambiguous,long,object,nonfinal,10,6,the,8.374032974243164
critical,1,unambiguous,long,object,nonfinal,10,7,kids,8.776954650878906
critical,1,unambiguous,long,object,nonfinal,10,8,playing,9.215234756469728
critical,1,unambiguous,long,object,nonfinal,10,9,happily,9.728338241577148
critical,1,unambiguous,long,object,nonfinal,10,10,splashed,8.90099623799324
critical,1,unambiguous,long,object,nonfinal,10,11,each,5.630875587463379
critical,1,unambiguous,long,object,nonfinal,10,12,other,0.0347226075828075
critical,1,unambiguous,long,object,nonfinal,10,13,with,2.718636989593506
critical,1,unambiguous,long,object,nonfinal,10,14,water.,5.337482929229736
critical,1,unambiguous,short,object,nonfinal,8,0,As,19.27421760559082
critical,1,unambiguous,short,object,nonfinal,8,1,the,2.6874070167541504
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,20.09003734588623
critical,1,unambiguous,short,object,nonfinal,8,3,watched,8.39416790008545
critical,1,unambiguous,short,object,nonfinal,8,4,the,2.30175518989563
critical,1,unambiguous,short,object,nonfinal,8,5,pool,6.857963562011719
critical,1,unambiguous,short,object,nonfinal,8,6,the,8.374032974243164
critical,1,unambiguous,short,object,nonfinal,8,7,kids,8.776954650878906
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,6.94440433382988
critical,1,unambiguous,short,object,nonfinal,8,9,each,5.899095058441162
critical,1,unambiguous,short,object,nonfinal,8,10,other,0.0307656321674585
critical,1,unambiguous,short,object,nonfinal,8,11,with,3.133065700531006
critical,1,unambiguous,short,object,nonfinal,8,12,water.,6.656305313110352
critical,2,ambiguous,long,comma,nonfinal,9,0,Because,20.8662052154541
critical,2,ambiguous,long,comma,nonfinal,9,1,the,3.200220823287964
critical,2,ambiguous,long,comma,nonfinal,9,2,suspect,13.4856538772583
critical,2,ambiguous,long,comma,nonfinal,9,3,changed,12.348745346069336
critical,2,ambiguous,long,comma,nonfinal,9,4,the,3.511141300201416
critical,2,ambiguous,long,comma,nonfinal,9,5,file,10.446436882019045
critical,2,ambiguous,long,comma,nonfinal,9,6,with,8.221322059631348
critical,2,ambiguous,long,comma,nonfinal,9,7,the,1.2526569366455078
critical,2,ambiguous,long,comma,nonfinal,9,8,evidence,11.136270523071287
critical,2,ambiguous,long,comma,nonfinal,9,9,needed,10.566591262817385
critical,2,ambiguous,long,comma,nonfinal,9,10,to,0.6812521815299988
critical,2,ambiguous,long,comma,nonfinal,9,11,be,4.4993896484375
critical,2,ambiguous,long,comma,nonfinal,9,12,updated.,19.01909208297729
critical,2,ambiguous,short,comma,nonfinal,6,0,Because,20.8662052154541
critical,2,ambiguous,short,comma,nonfinal,6,1,the,3.200220823287964
critical,2,ambiguous,short,comma,nonfinal,6,2,suspect,13.4856538772583
critical,2,ambiguous,short,comma,nonfinal,6,3,changed,12.348745346069336
critical,2,ambiguous,short,comma,nonfinal,6,4,the,3.511141300201416
critical,2,ambiguous,short,comma,nonfinal,6,5,file,10.446436882019045
critical,2,ambiguous,short,comma,nonfinal,6,6,needed,14.777701377868652
critical,2,ambiguous,short,comma,nonfinal,6,7,to,0.6382908821105957
critical,2,ambiguous,short,comma,nonfinal,6,8,be,3.903574228286743
critical,2,ambiguous,short,comma,nonfinal,6,9,updated.,12.172848224639893
critical,2,unambiguous,long,comma,nonfinal,9,0,Because,20.8662052154541
