item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,object,nonfinal,8,0,As,25.38521194458008
critical,1,ambiguous,long,object,nonfinal,8,1,the,2.97714900970459
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,19.8638129234314
critical,1,ambiguous,long,object,nonfinal,8,3,watched,11.803887367248535
critical,1,ambiguous,long,object,nonfinal,8,4,the,2.644063949584961
critical,1,ambiguous,long,object,nonfinal,8,5,kids,9.713129043579102
critical,1,ambiguous,long,object,nonfinal,8,6,playing,5.857415199279785
critical,1,ambiguous,long,object,nonfinal,8,7,happily,9.167396545410156
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,17.178794384002686
critical,1,ambiguous,long,object,nonfinal,8,9,each,11.291418075561523
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.1068328693509101
critical,1,ambiguous,long,object,nonfinal,8,11,with,2.5519254207611084
critical,1,ambiguous,long,object,nonfinal,8,12,water.,10.267028570175173
critical,1,ambiguous,short,object,nonfinal,6,0,As,25.38521194458008
critical,1,ambiguous,short,object,nonfinal,6,1,the,2.97714900970459
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,19.8638129234314
critical,1,ambiguous,short,object,nonfinal,6,3,watched,11.803887367248535
critical,1,ambiguous,short,object,nonfinal,6,4,the,2.644063949584961
critical,1,ambiguous,short,object,nonfinal,6,5,kids,9.713129043579102
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,13.187299251556396
critical,1,ambiguous,short,object,nonfinal,6,7,each,10.758320808410645
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.0890787541866302
critical,1,ambiguous,short,object,nonfinal,6,9,with,1.946155667304993
critical,1,ambiguous,short,object,nonfinal,6,10,water.,10.600449204444883
critical,1,unambiguous,long,object,nonfinal,10,0,As,25.38521194458008
critical,1,unambiguous,long,object,nonfinal,10,1,the,2.97714900970459
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,19.8638129234314
critical,1,unambiguous,long,object,nonfinal,10,3,watched,11.803887367248535
critical,1,unambiguous,long,object,nonfinal,10,4,the,2.644063949584961
critical,1,unambiguous,long,object,nonfinal,10,5,pool,7.329586982727051
critical,1,unambiguous,long,object,nonfinal,10,6,the,9.87541961669922
critical,1,unambiguous,long,object,nonfinal,10,7,kids,7.938036918640137
critical,1,unambiguous,long,object,nonfinal,10,8,playing,9.498516082763672
critical,1,unambiguous,long,object,nonfinal,10,9,happily,10.274215698242188
critical,1,unambiguous,long,object,nonfinal,10,10,splashed,6.028401851654053
critical,1,unambiguous,long,object,nonfinal,10,11,each,9.201396942138672
critical,1,unambiguous,long,object,nonfinal,10,12,other,0.1168711557984352
critical,1,unambiguous,long,object,nonfinal,10,13,with,3.015799760818481
critical,1,unambiguous,long,object,nonfinal,10,14,water.,3.5281319618225098
critical,1,unambiguous,short,object,nonfinal,8,0,As,25.38521194458008
critical,1,unambiguous,short,object,nonfinal,8,1,the,2.97714900970459
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,19.8638129234314
critical,1,unambiguous,short,object,nonfinal,8,3,watched,11.803887367248535
critical,1,unambiguous,short,object,nonfinal,8,4,the,2.644063949584961
critical,1,unambiguous,short,object,nonfinal,8,5,pool,7.329586982727051
critical,1,unambiguous,short,object,nonfinal,8,6,the,9.87541961669922
critical,1,unambiguous,short,object,nonfinal,8,7,kids,7.938036918640137
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,7.417823761701584
critical,1,unambiguous,short,object,nonfinal,8,9,each,9.399928092956545
critical,1,unambiguous,short,object,nonfinal,8,10,other,0.1003498136997222
critical,1,unambiguous,short,object,nonfinal,8,11,with,2.5417439937591557
critical,1,unambiguous,short,object,nonfinal,8,12,water.,4.133406281471252
critical,2,ambiguous,long,comma,nonfinal,9,0,Because,27.3464298248291
critical,2,ambiguous,long,comma,nonfinal,9,1,the,3.574718475341797
critical,2,ambiguous,long,comma,nonfinal,9,2,suspect,13.081286430358888
critical,2,ambiguous,long,comma,nonfinal,9,3,changed,11.661348342895508
critical,2,ambiguous,long,comma,nonfinal,9,4,the,4.632601737976074
critical,2,ambiguous,long,comma,nonfinal,9,5,file,10.39987087249756
critical,2,ambiguous,long,comma,nonfinal,9,6,with,7.059521675109863
critical,2,ambiguous,long,comma,nonfinal,9,7,the,1.7907713651657104
critical,2,ambiguous,long,comma,nonfinal,9,8,evidence,11.190628051757812
critical,2,ambiguous,long,comma,nonfinal,9,9,needed,10.92848777770996
critical,2,ambiguous,long,comma,nonfinal,9,10,to,0.7985966205596924
critical,2,ambiguous,long,comma,nonfinal,9,11,be,4.704806804656982
critical,2,ambiguous,long,comma,nonfinal,9,12,updated.,13.512927055358888
critical,2,ambiguous,short,comma,nonfinal,6,0,Because,27.3464298248291
critical,2,ambiguous,short,comma,nonfinal,6,1,the,3.574718475341797
critical,2,ambiguous,short,comma,nonfinal,6,2,suspect,13.081286430358888
critical,2,ambiguous,short,comma,nonfinal,6,3,changed,11.661348342895508
critical,2,ambiguous,short,comma,nonfinal,6,4,the,4.632601737976074
critical,2,ambiguous,short,comma,nonfinal,6,5,file,10.39987087249756
critical,2,ambiguous,short,comma,nonfinal,6,6,needed,15.156464576721191
critical,2,ambiguous,short,comma,nonfinal,6,7,to,0.6352681517601013
critical,2,ambiguous,short,comma,nonfinal,6,8,be,3.349803686141968
critical,2,ambiguous,short,comma,nonfinal,6,9,updated.,8.073058366775513
critical,2,unambiguous,long,comma,nonfinal,9,0,Because,27.3464298248291
critical,2,unambiguous,long,comma,nonfinal,9,1,the,3.574718475341797
critical,2,unambiguous,long,comma,nonfinal,9,2,suspect,13.081286430358888
critical,2,unambiguous,long,comma,nonfinal,9,3,"changed,",20.29096984863281
critical,2,unambiguous,long,comma,nonfinal,9,4,the,2.66984224319458
critical,2,unambiguous,long,comma,nonfinal,9,5,file,12.060523986816406
critical,2,unambiguous,long,comma,nonfinal,9,6,with,8.315320014953613
critical,2,unambiguous,long,comma,nonfinal,9,7,the,1.665067195892334
critical,2,unambiguous,long,comma,nonfinal,9,8,evidence,8.73304271697998
critical,2,unambiguous,long,comma,nonfinal,9,9,needed,8.511771202087402
critical,2,unambiguous,long,comma,nonfinal,9,10,to,0.4200124144554138
critical,2,unambiguous,long,comma,nonfinal,9,11,be,4.216233253479004
critical,2,unambiguous,long,comma,nonfinal,9,12,updated.,6.29564368724823
critical,2,unambiguous,short,comma,nonfinal,6,0,Because,27.3464298248291
critical,2,unambiguous,short,comma,nonfinal,6,1,the,3.574718475341797
critical,2,unambiguous,short,comma,nonfinal,6,2,suspect,13.081286430358888
critical,2,unambiguous,short,comma,nonfinal,6,3,"changed,",20.29096984863281
critical,2,unambiguous,short,comma,nonfinal,6,4,the,2.66984224319458
critical,2,unambiguous,short,comma,nonfinal,6,5,file,12.060523986816406
critical,2,unambiguous,short,comma,nonfinal,6,6,needed,8.978781700134277
critical,2,unambiguous,short,comma,nonfinal,6,7,to,0.225308284163475
critical,2,unambiguous,short,comma,nonfinal,6,8,be,0.1850368231534958
