item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,object,nonfinal,8,0,As,7.68391227722168
critical,1,ambiguous,long,object,nonfinal,8,1,the,2.8762035369873047
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,19.834241807460785
critical,1,ambiguous,long,object,nonfinal,8,3,watched,7.485570907592773
critical,1,ambiguous,long,object,nonfinal,8,4,the,1.855656981468201
critical,1,ambiguous,long,object,nonfinal,8,5,kids,4.912633419036865
critical,1,ambiguous,long,object,nonfinal,8,6,playing,3.277367353439331
critical,1,ambiguous,long,object,nonfinal,8,7,happily,6.710047721862793
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,18.268356323242188
critical,1,ambiguous,long,object,nonfinal,8,9,each,6.840605735778809
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.029666319489479
critical,1,ambiguous,long,object,nonfinal,8,11,with,1.936780571937561
critical,1,ambiguous,long,object,nonfinal,8,12,water.,4.264843702316284
critical,1,ambiguous,short,object,nonfinal,6,0,As,7.68391227722168
critical,1,ambiguous,short,object,nonfinal,6,1,the,2.8762035369873047
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,19.834241807460785
critical,1,ambiguous,short,object,nonfinal,6,3,watched,7.485570907592773
critical,1,ambiguous,short,object,nonfinal,6,4,the,1.855656981468201
critical,1,ambiguous,short,object,nonfinal,6,5,kids,4.912633419036865
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,12.33698558807373
critical,1,ambiguous,short,object,nonfinal,6,7,each,7.650488376617432
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.0231557432562112
critical,1,ambiguous,short,object,nonfinal,6,9,with,3.1038122177124023
critical,1,ambiguous,short,object,nonfinal,6,10,water.,7.121946156024933
critical,1,unambiguous,long,object,nonfinal,10,0,As,7.68391227722168
critical,1,unambiguous,long,object,nonfinal,10,1,the,2.8762035369873047
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,19.834241807460785
critical,1,unambiguous,long,object,nonfinal,10,3,watched,7.485570907592773
critical,1,unambiguous,long,object,nonfinal,10,4,the,1.855656981468201
critical,1,unambiguous,long,object,nonfinal,10,5,pool,8.92367172241211
critical,1,unambiguous,long,object,nonfinal,10,6,the,7.628264427185059
critical,1,unambiguous,long,object,nonfinal,10,7,kids,5.408671379089356
critical,1,unambiguous,long,object,nonfinal,10,8,playing,7.502614974975586
critical,1,unambiguous,long,object,nonfinal,10,9,happily,6.046314239501953
critical,1,unambiguous,long,object,nonfinal,10,10,splashed,4.782199084758759
critical,1,unambiguous,long,object,nonfinal,10,11,each,4.230015277862549
critical,1,unambiguous,long,object,nonfinal,10,12,other,0.0136457914486527
critical,1,unambiguous,long,object,nonfinal,10,13,with,2.9669291973114014
critical,1,unambiguous,long,object,nonfinal,10,14,water.,2.346722543239593
critical,1,unambiguous,short,object,nonfinal,8,0,As,7.68391227722168
critical,1,unambiguous,short,object,nonfinal,8,1,the,2.8762035369873047
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,19.834241807460785
critical,1,unambiguous,short,object,nonfinal,8,3,watched,7.485570907592773
critical,1,unambiguous,short,object,nonfinal,8,4,the,1.855656981468201
critical,1,unambiguous,short,object,nonfinal,8,5,pool,8.92367172241211
critical,1,unambiguous,short,object,nonfinal,8,6,the,7.628264427185059
critical,1,unambiguous,short,object,nonfinal,8,7,kids,5.408671379089356
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,3.9953042194247246
critical,1,unambiguous,short,object,nonfinal,8,9,each,7.694595813751221
critical,1,unambiguous,short,object,nonfinal,8,10,other,0.0136705571785569
critical,1,unambiguous,short,object,nonfinal,8,11,with,4.305464744567871
critical,1,unambiguous,short,object,nonfinal,8,12,water.,3.072714924812317
critical,2,ambiguous,long,comma,nonfinal,9,0,Because,12.77610683441162
critical,2,ambiguous,long,comma,nonfinal,9,1,the,3.4741830825805664
critical,2,ambiguous,long,comma,nonfinal,9,2,suspect,14.822395324707031
critical,2,ambiguous,long,comma,nonfinal,9,3,changed,11.521778106689451
critical,2,ambiguous,long,comma,nonfinal,9,4,the,2.846128463745117
critical,2,ambiguous,long,comma,nonfinal,9,5,file,12.43742847442627
critical,2,ambiguous,long,comma,nonfinal,9,6,with,7.713885307312012
critical,2,ambiguous,long,comma,nonfinal,9,7,the,1.8910207748413088
critical,2,ambiguous,long,comma,nonfinal,9,8,evidence,10.192313194274902
critical,2,ambiguous,long,comma,nonfinal,9,9,needed,8.063982009887695
critical,2,ambiguous,long,comma,nonfinal,9,10,to,1.0606197118759155
critical,2,ambiguous,long,comma,nonfinal,9,11,be,3.888529062271118
critical,2,ambiguous,long,comma,nonfinal,9,12,updated.,10.515785932540894
critical,2,ambiguous,short,comma,nonfinal,6,0,Because,12.77610683441162
critical,2,ambiguous,short,comma,nonfinal,6,1,the,3.4741830825805664
critical,2,ambiguous,short,comma,nonfinal,6,2,suspect,14.822395324707031
critical,2,ambiguous,short,comma,nonfinal,6,3,changed,11.521778106689451
critical,2,ambiguous,short,comma,nonfinal,6,4,the,2.846128463745117
critical,2,ambiguous,short,comma,nonfinal,6,5,file,12.43742847442627
critical,2,ambiguous,short,comma,nonfinal,6,6,needed,14.811771392822266
critical,2,ambiguous,short,comma,nonfinal,6,7,to,0.5107499361038208
critical,2,ambiguous,short,comma,nonfinal,6,8,be,5.437003135681152
critical,2,ambiguous,short,comma,nonfinal,6,9,updated.,6.281982779502869
critical,2,unambiguous,long,comma,nonfinal,9,0,Because,12.77610683441162
critical,2,unambiguous,long,comma,nonfinal,9,1,the,3.4741830825805664
critical,2,unambiguous,long,comma,nonfinal,9,2,suspect,14.822395324707031
critical,2,unambiguous,long,comma,nonfinal,9,3,"changed,",20.01178741455078
critical,2,unambiguous,long,comma,nonfinal,9,4,the,1.874609470367432
critical,2,unambiguous,long,comma,nonfinal,9,5,file,11.826162338256836
critical,2,unambiguous,long,comma,nonfinal,9,6,with,8.214292526245117
critical,2,unambiguous,long,comma,nonfinal,9,7,the,1.026674509048462
critical,2,unambiguous,long,comma,nonfinal,9,8,evidence,5.217917919158936
