item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,object,nonfinal,8,0,As,16.20804214477539
critical,1,ambiguous,long,object,nonfinal,8,1,the,3.218326568603516
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,21.63725639134645
critical,1,ambiguous,long,object,nonfinal,8,3,watched,13.016836166381836
critical,1,ambiguous,long,object,nonfinal,8,4,the,1.734773874282837
critical,1,ambiguous,long,object,nonfinal,8,5,kids,10.3322114944458
critical,1,ambiguous,long,object,nonfinal,8,6,playing,6.730580806732178
critical,1,ambiguous,long,object,nonfinal,8,7,happily,13.482382774353027
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,21.78281021118164
critical,1,ambiguous,long,object,nonfinal,8,9,each,11.533195495605469
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.5086063742637634
critical,1,ambiguous,long,object,nonfinal,8,11,with,4.981630325317383
critical,1,ambiguous,long,object,nonfinal,8,12,water.,8.964098930358887
critical,1,ambiguous,short,object,nonfinal,6,0,As,16.20804214477539
critical,1,ambiguous,short,object,nonfinal,6,1,the,3.218326568603516
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,21.63725639134645
critical,1,ambiguous,short,object,nonfinal,6,3,watched,13.016836166381836
critical,1,ambiguous,short,object,nonfinal,6,4,the,1.734773874282837
critical,1,ambiguous,short,object,nonfinal,6,5,kids,10.3322114944458
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,16.934143543243408
critical,1,ambiguous,short,object,nonfinal,6,7,each,10.660216331481934
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.5993911623954773
critical,1,ambiguous,short,object,nonfinal,6,9,with,5.065722942352295
critical,1,ambiguous,short,object,nonfinal,6,10,water.,7.0217790603637695
critical,1,unambiguous,long,object,nonfinal,10,0,As,16.20804214477539
critical,1,unambiguous,long,object,nonfinal,10,1,the,3.218326568603516
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,21.63725639134645
critical,1,unambiguous,long,object,nonfinal,10,3,watched,13.016836166381836
critical,1,unambiguous,long,object,nonfinal,10,4,the,1.734773874282837
critical,1,unambiguous,long,object,nonfinal,10,5,pool,8.874723434448242
critical,1,unambiguous,long,object,nonfinal,10,6,the,8.343133926391602
critical,1,unambiguous,long,object,nonfinal,10,7,kids,9.828448295593262
critical,1,unambiguous,long,object,nonfinal,10,8,playing,9.478164672851562
critical,1,unambiguous,long,object,nonfinal,10,9,happily,13.454998016357422
critical,1,unambiguous,long,object,nonfinal,10,10,splashed,12.296809166669846
critical,1,unambiguous,long,object,nonfinal,10,11,each,9.765576362609863
critical,1,unambiguous,long,object,nonfinal,10,12,other,0.5363436937332153
critical,1,unambiguous,long,object,nonfinal,10,13,with,5.470600128173828
critical,1,unambiguous,long,object,nonfinal,10,14,water.,5.656660556793213
critical,1,unambiguous,short,object,nonfinal,8,0,As,16.20804214477539
critical,1,unambiguous,short,object,nonfinal,8,1,the,3.218326568603516
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,21.63725639134645
critical,1,unambiguous,short,object,nonfinal,8,3,watched,13.016836166381836
critical,1,unambiguous,short,object,nonfinal,8,4,the,1.734773874282837
critical,1,unambiguous,short,object,nonfinal,8,5,pool,8.874723434448242
critical,1,unambiguous,short,object,nonfinal,8,6,the,8.343133926391602
critical,1,unambiguous,short,object,nonfinal,8,7,kids,9.828448295593262
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,11.964401066303251
critical,1,unambiguous,short,object,nonfinal,8,9,each,11.34731101989746
critical,1,unambiguous,short,object,nonfinal,8,10,other,0.5066691637039185
critical,1,unambiguous,short,object,nonfinal,8,11,with,4.793192386627197
critical,1,unambiguous,short,object,nonfinal,8,12,water.,3.9802675247192383
critical,2,ambiguous,long,comma,nonfinal,9,0,Because,20.196762084960938
critical,2,ambiguous,long,comma,nonfinal,9,1,the,4.088222980499268
critical,2,ambiguous,long,comma,nonfinal,9,2,suspect,14.104228019714355
critical,2,ambiguous,long,comma,nonfinal,9,3,changed,13.693891525268556
critical,2,ambiguous,long,comma,nonfinal,9,4,the,2.342794418334961
critical,2,ambiguous,long,comma,nonfinal,9,5,file,11.293509483337402
critical,2,ambiguous,long,comma,nonfinal,9,6,with,7.972862720489502
critical,2,ambiguous,long,comma,nonfinal,9,7,the,1.4849615097045898
critical,2,ambiguous,long,comma,nonfinal,9,8,evidence,9.90215015411377
critical,2,ambiguous,long,comma,nonfinal,9,9,needed,9.875381469726562
critical,2,ambiguous,long,comma,nonfinal,9,10,to,1.43705952167511
critical,2,ambiguous,long,comma,nonfinal,9,11,be,4.645788192749023
critical,2,ambiguous,long,comma,nonfinal,9,12,updated.,13.336212038993835
critical,2,ambiguous,short,comma,nonfinal,6,0,Because,20.196762084960938
critical,2,ambiguous,short,comma,nonfinal,6,1,the,4.088222980499268
critical,2,ambiguous,short,comma,nonfinal,6,2,suspect,14.104228019714355
critical,2,ambiguous,short,comma,nonfinal,6,3,changed,13.693891525268556
critical,2,ambiguous,short,comma,nonfinal,6,4,the,2.342794418334961
critical,2,ambiguous,short,comma,nonfinal,6,5,file,11.293509483337402
critical,2,ambiguous,short,comma,nonfinal,6,6,needed,16.25136375427246
critical,2,ambiguous,short,comma,nonfinal,6,7,to,0.9156851768493652
critical,2,ambiguous,short,comma,nonfinal,6,8,be,3.940378427505493
