item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,object,nonfinal,8,0,As,15.36849594116211
critical,1,ambiguous,long,object,nonfinal,8,1,the,3.9748616218566895
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,20.798140812665224
critical,1,ambiguous,long,object,nonfinal,8,3,watched,8.614348411560059
critical,1,ambiguous,long,object,nonfinal,8,4,the,3.6451902389526367
critical,1,ambiguous,long,object,nonfinal,8,5,kids,6.904716968536377
critical,1,ambiguous,long,object,nonfinal,8,6,playing,5.604726314544678
critical,1,ambiguous,long,object,nonfinal,8,7,happily,8.284666061401367
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,17.55682945251465
critical,1,ambiguous,long,object,nonfinal,8,9,each,9.06078052520752
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.0785148963332176
critical,1,ambiguous,long,object,nonfinal,8,11,with,2.55258584022522
critical,1,ambiguous,long,object,nonfinal,8,12,water.,6.909057855606079
critical,1,ambiguous,short,object,nonfinal,6,0,As,15.36849594116211
critical,1,ambiguous,short,object,nonfinal,6,1,the,3.9748616218566895
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,20.798140812665224
critical,1,ambiguous,short,object,nonfinal,6,3,watched,8.614348411560059
critical,1,ambiguous,short,object,nonfinal,6,4,the,3.6451902389526367
critical,1,ambiguous,short,object,nonfinal,6,5,kids,6.904716968536377
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,11.504551410675049
critical,1,ambiguous,short,object,nonfinal,6,7,each,8.320988655090332
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.0471700243651866
critical,1,ambiguous,short,object,nonfinal,6,9,with,2.547459363937378
critical,1,ambiguous,short,object,nonfinal,6,10,water.,7.380819797515869
critical,1,unambiguous,long,object,nonfinal,10,0,As,15.36849594116211
critical,1,unambiguous,long,object,nonfinal,10,1,the,3.9748616218566895
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,20.798140812665224
critical,1,unambiguous,long,object,nonfinal,10,3,watched,8.614348411560059
critical,1,unambiguous,long,object,nonfinal,10,4,the,3.6451902389526367
critical,1,unambiguous,long,object,nonfinal,10,5,pool,8.60830020904541
critical,1,unambiguous,long,object,nonfinal,10,6,the,8.220926284790039
critical,1,unambiguous,long,object,nonfinal,10,7,kids,7.075949668884277
