item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,object,nonfinal,8,0,As,19.040510177612305
critical,1,ambiguous,long,object,nonfinal,8,1,the,3.442622184753418
critical,1,ambiguous,long,object,nonfinal,8,2,lifeguard,17.232240438461304
critical,1,ambiguous,long,object,nonfinal,8,3,watched,8.74026107788086
critical,1,ambiguous,long,object,nonfinal,8,4,the,0.913720428943634
critical,1,ambiguous,long,object,nonfinal,8,5,kids,6.076933860778809
critical,1,ambiguous,long,object,nonfinal,8,6,playing,2.9396512508392334
critical,1,ambiguous,long,object,nonfinal,8,7,happily,8.004793167114258
critical,1,ambiguous,long,object,nonfinal,8,8,splashed,19.133500576019287
critical,1,ambiguous,long,object,nonfinal,8,9,each,10.407712936401367
critical,1,ambiguous,long,object,nonfinal,8,10,other,0.0481991693377494
critical,1,ambiguous,long,object,nonfinal,8,11,with,3.008535146713257
critical,1,ambiguous,long,object,nonfinal,8,12,water.,5.8753127455711365
critical,1,ambiguous,short,object,nonfinal,6,0,As,19.040510177612305
critical,1,ambiguous,short,object,nonfinal,6,1,the,3.442622184753418
critical,1,ambiguous,short,object,nonfinal,6,2,lifeguard,17.232240438461304
critical,1,ambiguous,short,object,nonfinal,6,3,watched,8.74026107788086
critical,1,ambiguous,short,object,nonfinal,6,4,the,0.913720428943634
critical,1,ambiguous,short,object,nonfinal,6,5,kids,6.076933860778809
critical,1,ambiguous,short,object,nonfinal,6,6,splashed,15.239616394042969
critical,1,ambiguous,short,object,nonfinal,6,7,each,8.513813018798828
critical,1,ambiguous,short,object,nonfinal,6,8,other,0.0205168426036834
critical,1,ambiguous,short,object,nonfinal,6,9,with,4.55858850479126
critical,1,ambiguous,short,object,nonfinal,6,10,water.,8.029380202293396
critical,1,unambiguous,long,object,nonfinal,10,0,As,19.040510177612305
critical,1,unambiguous,long,object,nonfinal,10,1,the,3.442622184753418
critical,1,unambiguous,long,object,nonfinal,10,2,lifeguard,17.232240438461304
critical,1,unambiguous,long,object,nonfinal,10,3,watched,8.74026107788086
critical,1,unambiguous,long,object,nonfinal,10,4,the,0.913720428943634
critical,1,unambiguous,long,object,nonfinal,10,5,pool,5.077475547790527
critical,1,unambiguous,long,object,nonfinal,10,6,the,8.903919219970703
critical,1,unambiguous,long,object,nonfinal,10,7,kids,6.906693935394287
critical,1,unambiguous,long,object,nonfinal,10,8,playing,5.157137870788574
critical,1,unambiguous,long,object,nonfinal,10,9,happily,8.64284896850586
critical,1,unambiguous,long,object,nonfinal,10,10,splashed,6.457846760749817
critical,1,unambiguous,long,object,nonfinal,10,11,each,5.300293445587158
critical,1,unambiguous,long,object,nonfinal,10,12,other,0.038103099912405
critical,1,unambiguous,long,object,nonfinal,10,13,with,3.26954984664917
critical,1,unambiguous,long,object,nonfinal,10,14,water.,2.1176650524139404
critical,1,unambiguous,short,object,nonfinal,8,0,As,19.040510177612305
critical,1,unambiguous,short,object,nonfinal,8,1,the,3.442622184753418
critical,1,unambiguous,short,object,nonfinal,8,2,lifeguard,17.232240438461304
critical,1,unambiguous,short,object,nonfinal,8,3,watched,8.74026107788086
critical,1,unambiguous,short,object,nonfinal,8,4,the,0.913720428943634
critical,1,unambiguous,short,object,nonfinal,8,5,pool,5.077475547790527
critical,1,unambiguous,short,object,nonfinal,8,6,the,8.903919219970703
critical,1,unambiguous,short,object,nonfinal,8,7,kids,6.906693935394287
critical,1,unambiguous,short,object,nonfinal,8,8,splashed,5.617464959621429
critical,1,unambiguous,short,object,nonfinal,8,9,each,5.9522480964660645
