item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,,final,8,0,As,7.890280723571777
critical,1,ambiguous,long,,final,8,1,the,2.4022233486175537
critical,1,ambiguous,long,,final,8,2,professor,18.36882972717285
critical,1,ambiguous,long,,final,8,3,wrote,9.69049072265625
critical,1,ambiguous,long,,final,8,4,the,5.537417411804199
critical,1,ambiguous,long,,final,8,5,textbook,8.433403015136719
critical,1,ambiguous,long,,final,8,6,on,4.438594341278076
critical,1,ambiguous,long,,final,8,7,biology,8.99136734008789
critical,1,ambiguous,long,,final,8,8,grew.,28.012308597564697
critical,1,ambiguous,short,,final,6,0,As,7.890280723571777
critical,1,ambiguous,short,,final,6,1,the,2.4022233486175537
critical,1,ambiguous,short,,final,6,2,professor,18.36882972717285
critical,1,ambiguous,short,,final,6,3,wrote,9.69049072265625
critical,1,ambiguous,short,,final,6,4,the,5.537417411804199
critical,1,ambiguous,short,,final,6,5,textbook,8.433403015136719
critical,1,ambiguous,short,,final,6,6,grew.,25.859302043914795
critical,1,unambiguous,long,comma,final,8,0,As,7.890280723571777
critical,1,unambiguous,long,comma,final,8,1,the,2.4022233486175537
critical,1,unambiguous,long,comma,final,8,2,professor,18.36882972717285
critical,1,unambiguous,long,comma,final,8,3,"wrote,",11.440679669380188
critical,1,unambiguous,long,comma,final,8,4,the,2.239018678665161
critical,1,unambiguous,long,comma,final,8,5,textbook,10.941808700561523
critical,1,unambiguous,long,comma,final,8,6,on,6.987232685089111
critical,1,unambiguous,long,comma,final,8,7,biology,11.593632698059082
critical,1,unambiguous,long,comma,final,8,8,grew.,25.417298316955566
critical,1,unambiguous,short,comma,final,6,0,As,7.890280723571777
critical,1,unambiguous,short,comma,final,6,1,the,2.4022233486175537
critical,1,unambiguous,short,comma,final,6,2,professor,18.36882972717285
critical,1,unambiguous,short,comma,final,6,3,"wrote,",11.440679669380188
critical,1,unambiguous,short,comma,final,6,4,the,2.239018678665161
critical,1,unambiguous,short,comma,final,6,5,textbook,10.941808700561523
critical,1,unambiguous,short,comma,final,6,6,grew.,25.92957162857056
critical,1,unambiguous,long,object,final,11,0,As,7.890280723571777
critical,1,unambiguous,long,object,final,11,1,the,2.4022233486175537
critical,1,unambiguous,long,object,final,11,2,professor,18.36882972717285
critical,1,unambiguous,long,object,final,11,3,wrote,9.69049072265625
critical,1,unambiguous,long,object,final,11,4,the,5.537417411804199
critical,1,unambiguous,long,object,final,11,5,new,7.767058372497559
critical,1,unambiguous,long,object,final,11,6,chapter,4.922331809997559
critical,1,unambiguous,long,object,final,11,7,the,8.518600463867188
critical,1,unambiguous,long,object,final,11,8,textbook,11.091060638427734
critical,1,unambiguous,long,object,final,11,9,on,5.847289085388184
critical,1,unambiguous,long,object,final,11,10,biology,9.12707805633545
critical,1,unambiguous,long,object,final,11,11,grew.,18.83441185951233
critical,1,unambiguous,short,object,final,9,0,As,7.890280723571777
critical,1,unambiguous,short,object,final,9,1,the,2.4022233486175537
critical,1,unambiguous,short,object,final,9,2,professor,18.36882972717285
critical,1,unambiguous,short,object,final,9,3,wrote,9.69049072265625
critical,1,unambiguous,short,object,final,9,4,the,5.537417411804199
critical,1,unambiguous,short,object,final,9,5,new,7.767058372497559
critical,1,unambiguous,short,object,final,9,6,chapter,4.922331809997559
critical,1,unambiguous,short,object,final,9,7,the,8.518600463867188
critical,1,unambiguous,short,object,final,9,8,textbook,11.091060638427734
critical,1,unambiguous,short,object,final,9,9,grew.,15.69443655014038
critical,1,ambiguous,long,,nonfinal,8,0,As,7.890280723571777
critical,1,ambiguous,long,,nonfinal,8,1,the,2.4022233486175537
critical,1,ambiguous,long,,nonfinal,8,2,professor,18.36882972717285
critical,1,ambiguous,long,,nonfinal,8,3,wrote,9.69049072265625
critical,1,ambiguous,long,,nonfinal,8,4,the,5.537417411804199
critical,1,ambiguous,long,,nonfinal,8,5,textbook,8.433403015136719
critical,1,ambiguous,long,,nonfinal,8,6,on,4.438594341278076
critical,1,ambiguous,long,,nonfinal,8,7,biology,8.99136734008789
critical,1,ambiguous,long,,nonfinal,8,8,grew,21.574838638305664
critical,1,ambiguous,long,,nonfinal,8,9,much,9.881062507629396
critical,1,ambiguous,long,,nonfinal,8,10,longer,6.236598491668701
critical,1,ambiguous,long,,nonfinal,8,11,than,3.1819679737091064
critical,1,ambiguous,long,,nonfinal,8,12,expected.,5.17699146270752
critical,1,ambiguous,short,,nonfinal,6,0,As,7.890280723571777
critical,1,ambiguous,short,,nonfinal,6,1,the,2.4022233486175537
critical,1,ambiguous,short,,nonfinal,6,2,professor,18.36882972717285
critical,1,ambiguous,short,,nonfinal,6,3,wrote,9.69049072265625
critical,1,ambiguous,short,,nonfinal,6,4,the,5.537417411804199
critical,1,ambiguous,short,,nonfinal,6,5,textbook,8.433403015136719
critical,1,ambiguous,short,,nonfinal,6,6,grew,21.884275436401367
critical,1,ambiguous,short,,nonfinal,6,7,much,8.819160461425781
critical,1,ambiguous,short,,nonfinal,6,8,longer,6.741267204284668
critical,1,ambiguous,short,,nonfinal,6,9,than,2.9795429706573486
critical,1,ambiguous,short,,nonfinal,6,10,expected.,4.33121931552887
critical,1,unambiguous,long,comma,nonfinal,8,0,As,7.890280723571777
critical,1,unambiguous,long,comma,nonfinal,8,1,the,2.4022233486175537
critical,1,unambiguous,long,comma,nonfinal,8,2,professor,18.36882972717285
critical,1,unambiguous,long,comma,nonfinal,8,3,"wrote,",11.440679669380188
critical,1,unambiguous,long,comma,nonfinal,8,4,the,2.239018678665161
critical,1,unambiguous,long,comma,nonfinal,8,5,textbook,10.941808700561523
critical,1,unambiguous,long,comma,nonfinal,8,6,on,6.987232685089111
critical,1,unambiguous,long,comma,nonfinal,8,7,biology,11.593632698059082
critical,1,unambiguous,long,comma,nonfinal,8,8,grew,17.382524490356445
critical,1,unambiguous,long,comma,nonfinal,8,9,much,7.121172904968262
critical,1,unambiguous,long,comma,nonfinal,8,10,longer,6.156967639923096
critical,1,unambiguous,long,comma,nonfinal,8,11,than,2.340816020965576
critical,1,unambiguous,long,comma,nonfinal,8,12,expected.,6.37334132194519
critical,1,unambiguous,short,comma,nonfinal,6,0,As,7.890280723571777
critical,1,unambiguous,short,comma,nonfinal,6,1,the,2.4022233486175537
critical,1,unambiguous,short,comma,nonfinal,6,2,professor,18.36882972717285
critical,1,unambiguous,short,comma,nonfinal,6,3,"wrote,",11.440679669380188
critical,1,unambiguous,short,comma,nonfinal,6,4,the,2.239018678665161
critical,1,unambiguous,short,comma,nonfinal,6,5,textbook,10.941808700561523
critical,1,unambiguous,short,comma,nonfinal,6,6,grew,18.477859497070312
critical,1,unambiguous,short,comma,nonfinal,6,7,much,7.856434345245361
critical,1,unambiguous,short,comma,nonfinal,6,8,longer,6.001448631286621
critical,1,unambiguous,short,comma,nonfinal,6,9,than,2.23828673362732
critical,1,unambiguous,short,comma,nonfinal,6,10,expected.,5.783897638320923
critical,1,unambiguous,long,object,nonfinal,11,0,As,7.890280723571777
critical,1,unambiguous,long,object,nonfinal,11,1,the,2.4022233486175537
critical,1,unambiguous,long,object,nonfinal,11,2,professor,18.36882972717285
critical,1,unambiguous,long,object,nonfinal,11,3,wrote,9.69049072265625
critical,1,unambiguous,long,object,nonfinal,11,4,the,5.537417411804199
critical,1,unambiguous,long,object,nonfinal,11,5,new,7.767058372497559
critical,1,unambiguous,long,object,nonfinal,11,6,chapter,4.922331809997559
critical,1,unambiguous,long,object,nonfinal,11,7,the,8.518600463867188
critical,1,unambiguous,long,object,nonfinal,11,8,textbook,11.091060638427734
critical,1,unambiguous,long,object,nonfinal,11,9,on,5.847289085388184
critical,1,unambiguous,long,object,nonfinal,11,10,biology,9.12707805633545
critical,1,unambiguous,long,object,nonfinal,11,11,grew,15.434404373168944
critical,1,unambiguous,long,object,nonfinal,11,12,much,8.075590133666992
critical,1,unambiguous,long,object,nonfinal,11,13,longer,4.525174617767334
critical,1,unambiguous,long,object,nonfinal,11,14,than,2.2094597816467285
critical,1,unambiguous,long,object,nonfinal,11,15,expected.,3.7572815120220175
critical,1,unambiguous,short,object,nonfinal,9,0,As,7.890280723571777
critical,1,unambiguous,short,object,nonfinal,9,1,the,2.4022233486175537
critical,1,unambiguous,short,object,nonfinal,9,2,professor,18.36882972717285
critical,1,unambiguous,short,object,nonfinal,9,3,wrote,9.69049072265625
critical,1,unambiguous,short,object,nonfinal,9,4,the,5.537417411804199
critical,1,unambiguous,short,object,nonfinal,9,5,new,7.767058372497559
critical,1,unambiguous,short,object,nonfinal,9,6,chapter,4.922331809997559
critical,1,unambiguous,short,object,nonfinal,9,7,the,8.518600463867188
critical,1,unambiguous,short,object,nonfinal,9,8,textbook,11.091060638427734
critical,1,unambiguous,short,object,nonfinal,9,9,grew,12.918424606323242
critical,1,unambiguous,short,object,nonfinal,9,10,much,7.937958240509033
critical,1,unambiguous,short,object,nonfinal,9,11,longer,4.424686908721924
critical,1,unambiguous,short,object,nonfinal,9,12,than,2.8368661403656006
critical,1,unambiguous,short,object,nonfinal,9,13,expected.,4.002996534109116
critical,2,ambiguous,long,,final,8,0,While,11.370808601379396
critical,2,ambiguous,long,,final,8,1,the,1.8241167068481443
critical,2,ambiguous,long,,final,8,2,mom,23.01354217529297
critical,2,ambiguous,long,,final,8,3,dressed,15.763384819030762
critical,2,ambiguous,long,,final,8,4,the,7.1145920753479
