item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,,final,8,0,As,25.385276794433597
critical,1,ambiguous,long,,final,8,1,the,2.977165460586548
critical,1,ambiguous,long,,final,8,2,professor,13.893556594848633
critical,1,ambiguous,long,,final,8,3,wrote,8.025507926940918
critical,1,ambiguous,long,,final,8,4,the,6.557486534118652
critical,1,ambiguous,long,,final,8,5,textbook,8.6640625
critical,1,ambiguous,long,,final,8,6,on,2.533906936645508
critical,1,ambiguous,long,,final,8,7,biology,9.413345336914062
critical,1,ambiguous,long,,final,8,8,grew.,25.31718778610229
critical,1,ambiguous,short,,final,6,0,As,25.385276794433597
critical,1,ambiguous,short,,final,6,1,the,2.977165460586548
critical,1,ambiguous,short,,final,6,2,professor,13.893556594848633
critical,1,ambiguous,short,,final,6,3,wrote,8.025507926940918
critical,1,ambiguous,short,,final,6,4,the,6.557486534118652
critical,1,ambiguous,short,,final,6,5,textbook,8.6640625
critical,1,ambiguous,short,,final,6,6,grew.,26.252114295959476
critical,1,unambiguous,long,comma,final,8,0,As,25.385276794433597
critical,1,unambiguous,long,comma,final,8,1,the,2.977165460586548
critical,1,unambiguous,long,comma,final,8,2,professor,13.893556594848633
critical,1,unambiguous,long,comma,final,8,3,"wrote,",10.203925371170044
critical,1,unambiguous,long,comma,final,8,4,the,4.501702308654785
critical,1,unambiguous,long,comma,final,8,5,textbook,11.24771499633789
critical,1,unambiguous,long,comma,final,8,6,on,6.139763832092285
critical,1,unambiguous,long,comma,final,8,7,biology,8.913769721984863
critical,1,unambiguous,long,comma,final,8,8,grew.,22.075593948364254
critical,1,unambiguous,short,comma,final,6,0,As,25.385276794433597
critical,1,unambiguous,short,comma,final,6,1,the,2.977165460586548
critical,1,unambiguous,short,comma,final,6,2,professor,13.893556594848633
critical,1,unambiguous,short,comma,final,6,3,"wrote,",10.203925371170044
critical,1,unambiguous,short,comma,final,6,4,the,4.501702308654785
critical,1,unambiguous,short,comma,final,6,5,textbook,11.24771499633789
critical,1,unambiguous,short,comma,final,6,6,grew.,22.80154228210449
critical,1,unambiguous,long,object,final,11,0,As,25.385276794433597
critical,1,unambiguous,long,object,final,11,1,the,2.977165460586548
critical,1,unambiguous,long,object,final,11,2,professor,13.893556594848633
critical,1,unambiguous,long,object,final,11,3,wrote,8.025507926940918
critical,1,unambiguous,long,object,final,11,4,the,6.557486534118652
critical,1,unambiguous,long,object,final,11,5,new,8.148796081542969
critical,1,unambiguous,long,object,final,11,6,chapter,6.2944769859313965
critical,1,unambiguous,long,object,final,11,7,the,11.637958526611328
critical,1,unambiguous,long,object,final,11,8,textbook,9.682353019714355
critical,1,unambiguous,long,object,final,11,9,on,6.323887348175049
critical,1,unambiguous,long,object,final,11,10,biology,8.520201683044434
critical,1,unambiguous,long,object,final,11,11,grew.,16.999645233154297
critical,1,unambiguous,short,object,final,9,0,As,25.385276794433597
critical,1,unambiguous,short,object,final,9,1,the,2.977165460586548
critical,1,unambiguous,short,object,final,9,2,professor,13.893556594848633
critical,1,unambiguous,short,object,final,9,3,wrote,8.025507926940918
critical,1,unambiguous,short,object,final,9,4,the,6.557486534118652
critical,1,unambiguous,short,object,final,9,5,new,8.148796081542969
critical,1,unambiguous,short,object,final,9,6,chapter,6.2944769859313965
critical,1,unambiguous,short,object,final,9,7,the,11.637958526611328
critical,1,unambiguous,short,object,final,9,8,textbook,9.682353019714355
critical,1,unambiguous,short,object,final,9,9,grew.,15.981651782989502
critical,1,ambiguous,long,,nonfinal,8,0,As,25.385276794433597
critical,1,ambiguous,long,,nonfinal,8,1,the,2.977165460586548
critical,1,ambiguous,long,,nonfinal,8,2,professor,13.893556594848633
critical,1,ambiguous,long,,nonfinal,8,3,wrote,8.025507926940918
critical,1,ambiguous,long,,nonfinal,8,4,the,6.557486534118652
critical,1,ambiguous,long,,nonfinal,8,5,textbook,8.6640625
critical,1,ambiguous,long,,nonfinal,8,6,on,2.533906936645508
critical,1,ambiguous,long,,nonfinal,8,7,biology,9.413345336914062
critical,1,ambiguous,long,,nonfinal,8,8,grew,18.704347610473636
critical,1,ambiguous,long,,nonfinal,8,9,much,9.783506393432615
critical,1,ambiguous,long,,nonfinal,8,10,longer,5.878471374511719
critical,1,ambiguous,long,,nonfinal,8,11,than,2.9210524559021
critical,1,ambiguous,long,,nonfinal,8,12,expected.,4.583235740661621
critical,1,ambiguous,short,,nonfinal,6,0,As,25.385276794433597
critical,1,ambiguous,short,,nonfinal,6,1,the,2.977165460586548
critical,1,ambiguous,short,,nonfinal,6,2,professor,13.893556594848633
critical,1,ambiguous,short,,nonfinal,6,3,wrote,8.025507926940918
critical,1,ambiguous,short,,nonfinal,6,4,the,6.557486534118652
critical,1,ambiguous,short,,nonfinal,6,5,textbook,8.6640625
critical,1,ambiguous,short,,nonfinal,6,6,grew,19.05722999572754
critical,1,ambiguous,short,,nonfinal,6,7,much,9.495577812194824
critical,1,ambiguous,short,,nonfinal,6,8,longer,5.6370463371276855
critical,1,ambiguous,short,,nonfinal,6,9,than,2.719637393951416
critical,1,ambiguous,short,,nonfinal,6,10,expected.,4.905864238739014
critical,1,unambiguous,long,comma,nonfinal,8,0,As,25.385276794433597
critical,1,unambiguous,long,comma,nonfinal,8,1,the,2.977165460586548
critical,1,unambiguous,long,comma,nonfinal,8,2,professor,13.893556594848633
critical,1,unambiguous,long,comma,nonfinal,8,3,"wrote,",10.203925371170044
critical,1,unambiguous,long,comma,nonfinal,8,4,the,4.501702308654785
critical,1,unambiguous,long,comma,nonfinal,8,5,textbook,11.24771499633789
critical,1,unambiguous,long,comma,nonfinal,8,6,on,6.139763832092285
critical,1,unambiguous,long,comma,nonfinal,8,7,biology,8.913769721984863
critical,1,unambiguous,long,comma,nonfinal,8,8,grew,13.134521484375
critical,1,unambiguous,long,comma,nonfinal,8,9,much,9.56721019744873
critical,1,unambiguous,long,comma,nonfinal,8,10,longer,5.196253299713135
critical,1,unambiguous,long,comma,nonfinal,8,11,than,1.3855472803115845
critical,1,unambiguous,long,comma,nonfinal,8,12,expected.,6.120435833930969
critical,1,unambiguous,short,comma,nonfinal,6,0,As,25.385276794433597
critical,1,unambiguous,short,comma,nonfinal,6,1,the,2.977165460586548
critical,1,unambiguous,short,comma,nonfinal,6,2,professor,13.893556594848633
critical,1,unambiguous,short,comma,nonfinal,6,3,"wrote,",10.203925371170044
critical,1,unambiguous,short,comma,nonfinal,6,4,the,4.501702308654785
critical,1,unambiguous,short,comma,nonfinal,6,5,textbook,11.24771499633789
critical,1,unambiguous,short,comma,nonfinal,6,6,grew,13.433094024658203
critical,1,unambiguous,short,comma,nonfinal,6,7,much,10.094924926757812
critical,1,unambiguous,short,comma,nonfinal,6,8,longer,5.673027992248535
critical,1,unambiguous,short,comma,nonfinal,6,9,than,1.4983898401260376
critical,1,unambiguous,short,comma,nonfinal,6,10,expected.,6.089451313018799
critical,1,unambiguous,long,object,nonfinal,11,0,As,25.385276794433597
critical,1,unambiguous,long,object,nonfinal,11,1,the,2.977165460586548
critical,1,unambiguous,long,object,nonfinal,11,2,professor,13.893556594848633
critical,1,unambiguous,long,object,nonfinal,11,3,wrote,8.025507926940918
critical,1,unambiguous,long,object,nonfinal,11,4,the,6.557486534118652
critical,1,unambiguous,long,object,nonfinal,11,5,new,8.148796081542969
critical,1,unambiguous,long,object,nonfinal,11,6,chapter,6.2944769859313965
critical,1,unambiguous,long,object,nonfinal,11,7,the,11.637958526611328
critical,1,unambiguous,long,object,nonfinal,11,8,textbook,9.682353019714355
critical,1,unambiguous,long,object,nonfinal,11,9,on,6.323887348175049
critical,1,unambiguous,long,object,nonfinal,11,10,biology,8.520201683044434
critical,1,unambiguous,long,object,nonfinal,11,11,grew,12.387307167053224
critical,1,unambiguous,long,object,nonfinal,11,12,much,8.831652641296387
critical,1,unambiguous,long,object,nonfinal,11,13,longer,5.962520122528076
critical,1,unambiguous,long,object,nonfinal,11,14,than,3.304835081100464
critical,1,unambiguous,long,object,nonfinal,11,15,expected.,4.813706278800964
critical,1,unambiguous,short,object,nonfinal,9,0,As,25.385276794433597
critical,1,unambiguous,short,object,nonfinal,9,1,the,2.977165460586548
critical,1,unambiguous,short,object,nonfinal,9,2,professor,13.893556594848633
critical,1,unambiguous,short,object,nonfinal,9,3,wrote,8.025507926940918
critical,1,unambiguous,short,object,nonfinal,9,4,the,6.557486534118652
critical,1,unambiguous,short,object,nonfinal,9,5,new,8.148796081542969
critical,1,unambiguous,short,object,nonfinal,9,6,chapter,6.2944769859313965
critical,1,unambiguous,short,object,nonfinal,9,7,the,11.637958526611328
critical,1,unambiguous,short,object,nonfinal,9,8,textbook,9.682353019714355
critical,1,unambiguous,short,object,nonfinal,9,9,grew,10.835644721984863
critical,1,unambiguous,short,object,nonfinal,9,10,much,8.548864364624023
critical,1,unambiguous,short,object,nonfinal,9,11,longer,6.379692077636719
critical,1,unambiguous,short,object,nonfinal,9,12,than,3.3958566188812256
critical,1,unambiguous,short,object,nonfinal,9,13,expected.,4.728119373321533
critical,2,ambiguous,long,,final,8,0,While,25.83162879943848
