item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,,final,8,0,As,14.926304817199709
critical,1,ambiguous,long,,final,8,1,the,3.2082221508026123
critical,1,ambiguous,long,,final,8,2,professor,13.420832633972168
critical,1,ambiguous,long,,final,8,3,wrote,6.929035186767578
critical,1,ambiguous,long,,final,8,4,the,7.682588577270508
critical,1,ambiguous,long,,final,8,5,textbook,10.015300750732422
critical,1,ambiguous,long,,final,8,6,on,3.6902358531951904
critical,1,ambiguous,long,,final,8,7,biology,7.76518440246582
critical,1,ambiguous,long,,final,8,8,grew.,23.50540018081665
critical,1,ambiguous,short,,final,6,0,As,14.926304817199709
critical,1,ambiguous,short,,final,6,1,the,3.2082221508026123
critical,1,ambiguous,short,,final,6,2,professor,13.420832633972168
critical,1,ambiguous,short,,final,6,3,wrote,6.929035186767578
critical,1,ambiguous,short,,final,6,4,the,7.682588577270508
critical,1,ambiguous,short,,final,6,5,textbook,10.015300750732422
critical,1,ambiguous,short,,final,6,6,grew.,20.8644061088562
critical,1,unambiguous,long,comma,final,8,0,As,14.926304817199709
critical,1,unambiguous,long,comma,final,8,1,the,3.2082221508026123
critical,1,unambiguous,long,comma,final,8,2,professor,13.420832633972168
critical,1,unambiguous,long,comma,final,8,3,"wrote,",8.697534084320068
critical,1,unambiguous,long,comma,final,8,4,the,3.6669068336486816
critical,1,unambiguous,long,comma,final,8,5,textbook,10.740567207336426
critical,1,unambiguous,long,comma,final,8,6,on,6.806418418884277
critical,1,unambiguous,long,comma,final,8,7,biology,7.785315990447998
critical,1,unambiguous,long,comma,final,8,8,grew.,21.013527870178223
critical,1,unambiguous,short,comma,final,6,0,As,14.926304817199709
critical,1,unambiguous,short,comma,final,6,1,the,3.2082221508026123
critical,1,unambiguous,short,comma,final,6,2,professor,13.420832633972168
critical,1,unambiguous,short,comma,final,6,3,"wrote,",8.697534084320068
critical,1,unambiguous,short,comma,final,6,4,the,3.6669068336486816
critical,1,unambiguous,short,comma,final,6,5,textbook,10.740567207336426
critical,1,unambiguous,short,comma,final,6,6,grew.,21.094725608825684
critical,1,unambiguous,long,object,final,11,0,As,14.926304817199709
critical,1,unambiguous,long,object,final,11,1,the,3.2082221508026123
critical,1,unambiguous,long,object,final,11,2,professor,13.420832633972168
critical,1,unambiguous,long,object,final,11,3,wrote,6.929035186767578
critical,1,unambiguous,long,object,final,11,4,the,7.682588577270508
critical,1,unambiguous,long,object,final,11,5,new,8.632658958435059
critical,1,unambiguous,long,object,final,11,6,chapter,6.694401264190674
critical,1,unambiguous,long,object,final,11,7,the,11.390710830688477
critical,1,unambiguous,long,object,final,11,8,textbook,10.39443302154541
critical,1,unambiguous,long,object,final,11,9,on,7.332756996154785
critical,1,unambiguous,long,object,final,11,10,biology,7.387405872344971
critical,1,unambiguous,long,object,final,11,11,grew.,17.471004962921143
critical,1,unambiguous,short,object,final,9,0,As,14.926304817199709
critical,1,unambiguous,short,object,final,9,1,the,3.2082221508026123
critical,1,unambiguous,short,object,final,9,2,professor,13.420832633972168
critical,1,unambiguous,short,object,final,9,3,wrote,6.929035186767578
critical,1,unambiguous,short,object,final,9,4,the,7.682588577270508
critical,1,unambiguous,short,object,final,9,5,new,8.632658958435059
critical,1,unambiguous,short,object,final,9,6,chapter,6.694401264190674
critical,1,unambiguous,short,object,final,9,7,the,11.390710830688477
critical,1,unambiguous,short,object,final,9,8,textbook,10.39443302154541
critical,1,unambiguous,short,object,final,9,9,grew.,17.830501079559326
critical,1,ambiguous,long,,nonfinal,8,0,As,14.926304817199709
critical,1,ambiguous,long,,nonfinal,8,1,the,3.2082221508026123
critical,1,ambiguous,long,,nonfinal,8,2,professor,13.420832633972168
critical,1,ambiguous,long,,nonfinal,8,3,wrote,6.929035186767578
critical,1,ambiguous,long,,nonfinal,8,4,the,7.682588577270508
critical,1,ambiguous,long,,nonfinal,8,5,textbook,10.015300750732422
critical,1,ambiguous,long,,nonfinal,8,6,on,3.6902358531951904
critical,1,ambiguous,long,,nonfinal,8,7,biology,7.76518440246582
critical,1,ambiguous,long,,nonfinal,8,8,grew,18.91351318359375
critical,1,ambiguous,long,,nonfinal,8,9,much,9.0048246383667
critical,1,ambiguous,long,,nonfinal,8,10,longer,5.857811450958252
critical,1,ambiguous,long,,nonfinal,8,11,than,2.6829843521118164
critical,1,ambiguous,long,,nonfinal,8,12,expected.,6.740338444709778
