item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,,final,12,0,After,8.926979064941406
critical,1,ambiguous,long,,final,12,1,the,3.3896939754486084
critical,1,ambiguous,long,,final,12,2,director,13.606468200683594
critical,1,ambiguous,long,,final,12,3,finished,11.03151512145996
critical,1,ambiguous,long,,final,12,4,filming,4.224038124782965
critical,1,ambiguous,long,,final,12,5,the,1.5992611646652222
critical,1,ambiguous,long,,final,12,6,actors,8.522858619689941
critical,1,ambiguous,long,,final,12,7,exhausted,15.590872764587402
critical,1,ambiguous,long,,final,12,8,from,3.036057949066162
critical,1,ambiguous,long,,final,12,9,the,1.337024807929993
critical,1,ambiguous,long,,final,12,10,long,4.462495803833008
critical,1,ambiguous,long,,final,12,11,day,1.8872123956680296
critical,1,ambiguous,long,,final,12,12,left.,13.244463443756104
critical,1,ambiguous,short,,final,7,0,After,8.926979064941406
critical,1,ambiguous,short,,final,7,1,the,3.3896939754486084
critical,1,ambiguous,short,,final,7,2,director,13.606468200683594
critical,1,ambiguous,short,,final,7,3,finished,11.03151512145996
critical,1,ambiguous,short,,final,7,4,filming,4.224038124782965
critical,1,ambiguous,short,,final,7,5,the,1.5992611646652222
critical,1,ambiguous,short,,final,7,6,actors,8.522858619689941
critical,1,ambiguous,short,,final,7,7,left.,12.646077156066896
critical,1,unambiguous,long,comma,final,12,0,After,8.926979064941406
critical,1,unambiguous,long,comma,final,12,1,the,3.3896939754486084
critical,1,unambiguous,long,comma,final,12,2,director,13.606468200683594
critical,1,unambiguous,long,comma,final,12,3,finished,11.03151512145996
critical,1,unambiguous,long,comma,final,12,4,"filming,",6.715340138180181
critical,1,unambiguous,long,comma,final,12,5,the,2.06079649925232
critical,1,unambiguous,long,comma,final,12,6,actors,3.8839845657348633
critical,1,unambiguous,long,comma,final,12,7,exhausted,14.914813995361328
critical,1,unambiguous,long,comma,final,12,8,from,3.970864772796631
critical,1,unambiguous,long,comma,final,12,9,the,1.5100475549697876
critical,1,unambiguous,long,comma,final,12,10,long,3.659633874893189
critical,1,unambiguous,long,comma,final,12,11,day,2.0438528060913086
critical,1,unambiguous,long,comma,final,12,12,left.,11.277424812316896
critical,1,unambiguous,short,comma,final,7,0,After,8.926979064941406
critical,1,unambiguous,short,comma,final,7,1,the,3.3896939754486084
critical,1,unambiguous,short,comma,final,7,2,director,13.606468200683594
critical,1,unambiguous,short,comma,final,7,3,finished,11.03151512145996
critical,1,unambiguous,short,comma,final,7,4,"filming,",6.715340138180181
critical,1,unambiguous,short,comma,final,7,5,the,2.06079649925232
critical,1,unambiguous,short,comma,final,7,6,actors,3.8839845657348633
critical,1,unambiguous,short,comma,final,7,7,left.,8.179292678833008
critical,1,unambiguous,long,object,final,15,0,After,8.926979064941406
