item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,,final,8,0,As,74.56287384033203
critical,1,ambiguous,long,,final,8,1,the,8.519684791564941
critical,1,ambiguous,long,,final,8,2,professor,14.23798370361328
critical,1,ambiguous,long,,final,8,3,wrote,7.707640647888184
critical,1,ambiguous,long,,final,8,4,the,2.239417791366577
critical,1,ambiguous,long,,final,8,5,textbook,9.828184127807615
critical,1,ambiguous,long,,final,8,6,on,3.633858442306519
critical,1,ambiguous,long,,final,8,7,biology,9.0574369430542
critical,1,ambiguous,long,,final,8,8,grew.,27.805163860321045
critical,1,ambiguous,short,,final,6,0,As,74.56287384033203
critical,1,ambiguous,short,,final,6,1,the,8.519684791564941
critical,1,ambiguous,short,,final,6,2,professor,14.23798370361328
critical,1,ambiguous,short,,final,6,3,wrote,7.707640647888184
critical,1,ambiguous,short,,final,6,4,the,2.239417791366577
critical,1,ambiguous,short,,final,6,5,textbook,9.828184127807615
critical,1,ambiguous,short,,final,6,6,grew.,26.829426288604736
critical,1,unambiguous,long,comma,final,8,0,As,74.56287384033203
critical,1,unambiguous,long,comma,final,8,1,the,8.519684791564941
critical,1,unambiguous,long,comma,final,8,2,professor,14.23798370361328
critical,1,unambiguous,long,comma,final,8,3,"wrote,",11.098731279373167
critical,1,unambiguous,long,comma,final,8,4,the,4.754976272583008
critical,1,unambiguous,long,comma,final,8,5,textbook,10.83306884765625
critical,1,unambiguous,long,comma,final,8,6,on,6.078092575073242
critical,1,unambiguous,long,comma,final,8,7,biology,8.825675964355469
critical,1,unambiguous,long,comma,final,8,8,grew.,17.20693826675415
critical,1,unambiguous,short,comma,final,6,0,As,74.56287384033203
critical,1,unambiguous,short,comma,final,6,1,the,8.519684791564941
critical,1,unambiguous,short,comma,final,6,2,professor,14.23798370361328
critical,1,unambiguous,short,comma,final,6,3,"wrote,",11.098731279373167
critical,1,unambiguous,short,comma,final,6,4,the,4.754976272583008
critical,1,unambiguous,short,comma,final,6,5,textbook,10.83306884765625
critical,1,unambiguous,short,comma,final,6,6,grew.,18.40572023391724
critical,1,unambiguous,long,object,final,11,0,As,74.56287384033203
critical,1,unambiguous,long,object,final,11,1,the,8.519684791564941
critical,1,unambiguous,long,object,final,11,2,professor,14.23798370361328
critical,1,unambiguous,long,object,final,11,3,wrote,7.707640647888184
critical,1,unambiguous,long,object,final,11,4,the,2.239417791366577
critical,1,unambiguous,long,object,final,11,5,new,8.881503105163574
critical,1,unambiguous,long,object,final,11,6,chapter,5.081132411956787
critical,1,unambiguous,long,object,final,11,7,the,8.003593444824219
critical,1,unambiguous,long,object,final,11,8,textbook,11.044665336608888
critical,1,unambiguous,long,object,final,11,9,on,7.938080787658691
critical,1,unambiguous,long,object,final,11,10,biology,9.679546356201172
critical,1,unambiguous,long,object,final,11,11,grew.,16.918910264968872
critical,1,unambiguous,short,object,final,9,0,As,74.56287384033203
critical,1,unambiguous,short,object,final,9,1,the,8.519684791564941
critical,1,unambiguous,short,object,final,9,2,professor,14.23798370361328
critical,1,unambiguous,short,object,final,9,3,wrote,7.707640647888184
critical,1,unambiguous,short,object,final,9,4,the,2.239417791366577
critical,1,unambiguous,short,object,final,9,5,new,8.881503105163574
critical,1,unambiguous,short,object,final,9,6,chapter,5.081132411956787
critical,1,unambiguous,short,object,final,9,7,the,8.003593444824219
critical,1,unambiguous,short,object,final,9,8,textbook,11.044665336608888
critical,1,unambiguous,short,object,final,9,9,grew.,18.450188159942627
critical,1,ambiguous,long,,nonfinal,8,0,As,74.56287384033203
critical,1,ambiguous,long,,nonfinal,8,1,the,8.519684791564941
critical,1,ambiguous,long,,nonfinal,8,2,professor,14.23798370361328
critical,1,ambiguous,long,,nonfinal,8,3,wrote,7.707640647888184
critical,1,ambiguous,long,,nonfinal,8,4,the,2.239417791366577
critical,1,ambiguous,long,,nonfinal,8,5,textbook,9.828184127807615
critical,1,ambiguous,long,,nonfinal,8,6,on,3.633858442306519
critical,1,ambiguous,long,,nonfinal,8,7,biology,9.0574369430542
critical,1,ambiguous,long,,nonfinal,8,8,grew,23.011707305908203
critical,1,ambiguous,long,,nonfinal,8,9,much,9.291399955749512
critical,1,ambiguous,long,,nonfinal,8,10,longer,6.137265682220459
critical,1,ambiguous,long,,nonfinal,8,11,than,3.0209949016571045
