item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,,final,8,0,As,15.368380546569824
critical,1,ambiguous,long,,final,8,1,the,3.974860191345215
critical,1,ambiguous,long,,final,8,2,professor,14.256704330444336
critical,1,ambiguous,long,,final,8,3,wrote,7.6555914878845215
critical,1,ambiguous,long,,final,8,4,the,4.743460178375244
critical,1,ambiguous,long,,final,8,5,textbook,6.907432556152344
critical,1,ambiguous,long,,final,8,6,on,5.502912521362305
critical,1,ambiguous,long,,final,8,7,biology,9.813924789428713
critical,1,ambiguous,long,,final,8,8,grew.,23.78945779800415
critical,1,ambiguous,short,,final,6,0,As,15.368380546569824
critical,1,ambiguous,short,,final,6,1,the,3.974860191345215
critical,1,ambiguous,short,,final,6,2,professor,14.256704330444336
critical,1,ambiguous,short,,final,6,3,wrote,7.6555914878845215
critical,1,ambiguous,short,,final,6,4,the,4.743460178375244
critical,1,ambiguous,short,,final,6,5,textbook,6.907432556152344
critical,1,ambiguous,short,,final,6,6,grew.,23.447312831878666
critical,1,unambiguous,long,comma,final,8,0,As,15.368380546569824
critical,1,unambiguous,long,comma,final,8,1,the,3.974860191345215
critical,1,unambiguous,long,comma,final,8,2,professor,14.256704330444336
critical,1,unambiguous,long,comma,final,8,3,"wrote,",9.401179552078249
critical,1,unambiguous,long,comma,final,8,4,the,3.741239070892334
critical,1,unambiguous,long,comma,final,8,5,textbook,11.156797409057615
critical,1,unambiguous,long,comma,final,8,6,on,8.711716651916504
critical,1,unambiguous,long,comma,final,8,7,biology,9.034294128417969
critical,1,unambiguous,long,comma,final,8,8,grew.,20.90533447265625
critical,1,unambiguous,short,comma,final,6,0,As,15.368380546569824
critical,1,unambiguous,short,comma,final,6,1,the,3.974860191345215
critical,1,unambiguous,short,comma,final,6,2,professor,14.256704330444336
critical,1,unambiguous,short,comma,final,6,3,"wrote,",9.401179552078249
critical,1,unambiguous,short,comma,final,6,4,the,3.741239070892334
critical,1,unambiguous,short,comma,final,6,5,textbook,11.156797409057615
critical,1,unambiguous,short,comma,final,6,6,grew.,21.085875988006592
critical,1,unambiguous,long,object,final,11,0,As,15.368380546569824
critical,1,unambiguous,long,object,final,11,1,the,3.974860191345215
critical,1,unambiguous,long,object,final,11,2,professor,14.256704330444336
critical,1,unambiguous,long,object,final,11,3,wrote,7.6555914878845215
critical,1,unambiguous,long,object,final,11,4,the,4.743460178375244
critical,1,unambiguous,long,object,final,11,5,new,9.4559907913208
critical,1,unambiguous,long,object,final,11,6,chapter,5.4106221199035645
critical,1,unambiguous,long,object,final,11,7,the,7.05983829498291
critical,1,unambiguous,long,object,final,11,8,textbook,8.79800796508789
critical,1,unambiguous,long,object,final,11,9,on,10.598483085632324
critical,1,unambiguous,long,object,final,11,10,biology,9.740586280822754
critical,1,unambiguous,long,object,final,11,11,grew.,17.23699378967285
critical,1,unambiguous,short,object,final,9,0,As,15.368380546569824
critical,1,unambiguous,short,object,final,9,1,the,3.974860191345215
critical,1,unambiguous,short,object,final,9,2,professor,14.256704330444336
critical,1,unambiguous,short,object,final,9,3,wrote,7.6555914878845215
critical,1,unambiguous,short,object,final,9,4,the,4.743460178375244
critical,1,unambiguous,short,object,final,9,5,new,9.4559907913208
critical,1,unambiguous,short,object,final,9,6,chapter,5.4106221199035645
critical,1,unambiguous,short,object,final,9,7,the,7.05983829498291
critical,1,unambiguous,short,object,final,9,8,textbook,8.79800796508789
critical,1,unambiguous,short,object,final,9,9,grew.,16.473253965377808
critical,1,ambiguous,long,,nonfinal,8,0,As,15.368380546569824
critical,1,ambiguous,long,,nonfinal,8,1,the,3.974860191345215
critical,1,ambiguous,long,,nonfinal,8,2,professor,14.256704330444336
critical,1,ambiguous,long,,nonfinal,8,3,wrote,7.6555914878845215
critical,1,ambiguous,long,,nonfinal,8,4,the,4.743460178375244
critical,1,ambiguous,long,,nonfinal,8,5,textbook,6.907432556152344
critical,1,ambiguous,long,,nonfinal,8,6,on,5.502912521362305
critical,1,ambiguous,long,,nonfinal,8,7,biology,9.813924789428713
critical,1,ambiguous,long,,nonfinal,8,8,grew,18.814184188842773
critical,1,ambiguous,long,,nonfinal,8,9,much,8.429682731628418
critical,1,ambiguous,long,,nonfinal,8,10,longer,6.422089576721191
critical,1,ambiguous,long,,nonfinal,8,11,than,3.0342581272125244
critical,1,ambiguous,long,,nonfinal,8,12,expected.,4.729791283607483
critical,1,ambiguous,short,,nonfinal,6,0,As,15.368380546569824
critical,1,ambiguous,short,,nonfinal,6,1,the,3.974860191345215
critical,1,ambiguous,short,,nonfinal,6,2,professor,14.256704330444336
critical,1,ambiguous,short,,nonfinal,6,3,wrote,7.6555914878845215
critical,1,ambiguous,short,,nonfinal,6,4,the,4.743460178375244
critical,1,ambiguous,short,,nonfinal,6,5,textbook,6.907432556152344
critical,1,ambiguous,short,,nonfinal,6,6,grew,18.23963165283203
critical,1,ambiguous,short,,nonfinal,6,7,much,8.194168090820312
critical,1,ambiguous,short,,nonfinal,6,8,longer,5.840461730957031
critical,1,ambiguous,short,,nonfinal,6,9,than,2.274741649627685
critical,1,ambiguous,short,,nonfinal,6,10,expected.,5.418407082557678
critical,1,unambiguous,long,comma,nonfinal,8,0,As,15.368380546569824
critical,1,unambiguous,long,comma,nonfinal,8,1,the,3.974860191345215
critical,1,unambiguous,long,comma,nonfinal,8,2,professor,14.256704330444336
critical,1,unambiguous,long,comma,nonfinal,8,3,"wrote,",9.401179552078249
critical,1,unambiguous,long,comma,nonfinal,8,4,the,3.741239070892334
critical,1,unambiguous,long,comma,nonfinal,8,5,textbook,11.156797409057615
critical,1,unambiguous,long,comma,nonfinal,8,6,on,8.711716651916504
critical,1,unambiguous,long,comma,nonfinal,8,7,biology,9.034294128417969
critical,1,unambiguous,long,comma,nonfinal,8,8,grew,14.23679542541504
critical,1,unambiguous,long,comma,nonfinal,8,9,much,8.560935974121094
critical,1,unambiguous,long,comma,nonfinal,8,10,longer,5.384542942047119
critical,1,unambiguous,long,comma,nonfinal,8,11,than,2.2684319019317627
critical,1,unambiguous,long,comma,nonfinal,8,12,expected.,7.08919894695282
critical,1,unambiguous,short,comma,nonfinal,6,0,As,15.368380546569824
critical,1,unambiguous,short,comma,nonfinal,6,1,the,3.974860191345215
critical,1,unambiguous,short,comma,nonfinal,6,2,professor,14.256704330444336
critical,1,unambiguous,short,comma,nonfinal,6,3,"wrote,",9.401179552078249
critical,1,unambiguous,short,comma,nonfinal,6,4,the,3.741239070892334
critical,1,unambiguous,short,comma,nonfinal,6,5,textbook,11.156797409057615
critical,1,unambiguous,short,comma,nonfinal,6,6,grew,13.311711311340332
critical,1,unambiguous,short,comma,nonfinal,6,7,much,8.661282539367676
critical,1,unambiguous,short,comma,nonfinal,6,8,longer,5.955555438995361
critical,1,unambiguous,short,comma,nonfinal,6,9,than,2.027262687683105
critical,1,unambiguous,short,comma,nonfinal,6,10,expected.,6.883290648460388
critical,1,unambiguous,long,object,nonfinal,11,0,As,15.368380546569824
critical,1,unambiguous,long,object,nonfinal,11,1,the,3.974860191345215
critical,1,unambiguous,long,object,nonfinal,11,2,professor,14.256704330444336
critical,1,unambiguous,long,object,nonfinal,11,3,wrote,7.6555914878845215
critical,1,unambiguous,long,object,nonfinal,11,4,the,4.743460178375244
critical,1,unambiguous,long,object,nonfinal,11,5,new,9.4559907913208
critical,1,unambiguous,long,object,nonfinal,11,6,chapter,5.4106221199035645
critical,1,unambiguous,long,object,nonfinal,11,7,the,7.05983829498291
critical,1,unambiguous,long,object,nonfinal,11,8,textbook,8.79800796508789
critical,1,unambiguous,long,object,nonfinal,11,9,on,10.598483085632324
critical,1,unambiguous,long,object,nonfinal,11,10,biology,9.740586280822754
critical,1,unambiguous,long,object,nonfinal,11,11,grew,13.651758193969728
critical,1,unambiguous,long,object,nonfinal,11,12,much,8.257869720458984
critical,1,unambiguous,long,object,nonfinal,11,13,longer,6.512713432312012
critical,1,unambiguous,long,object,nonfinal,11,14,than,2.9073405265808105
critical,1,unambiguous,long,object,nonfinal,11,15,expected.,4.43846070766449
critical,1,unambiguous,short,object,nonfinal,9,0,As,15.368380546569824
critical,1,unambiguous,short,object,nonfinal,9,1,the,3.974860191345215
critical,1,unambiguous,short,object,nonfinal,9,2,professor,14.256704330444336
critical,1,unambiguous,short,object,nonfinal,9,3,wrote,7.6555914878845215
critical,1,unambiguous,short,object,nonfinal,9,4,the,4.743460178375244
critical,1,unambiguous,short,object,nonfinal,9,5,new,9.4559907913208
critical,1,unambiguous,short,object,nonfinal,9,6,chapter,5.4106221199035645
critical,1,unambiguous,short,object,nonfinal,9,7,the,7.05983829498291
critical,1,unambiguous,short,object,nonfinal,9,8,textbook,8.79800796508789
critical,1,unambiguous,short,object,nonfinal,9,9,grew,12.589957237243652
critical,1,unambiguous,short,object,nonfinal,9,10,much,8.065689086914062
critical,1,unambiguous,short,object,nonfinal,9,11,longer,6.912802696228027
critical,1,unambiguous,short,object,nonfinal,9,12,than,2.714439392089844
critical,1,unambiguous,short,object,nonfinal,9,13,expected.,5.409882187843323
critical,2,ambiguous,long,,final,8,0,While,12.691075325012209
critical,2,ambiguous,long,,final,8,1,the,2.5171022415161133
critical,2,ambiguous,long,,final,8,2,mom,15.848740577697754
critical,2,ambiguous,long,,final,8,3,dressed,13.292096138000488
critical,2,ambiguous,long,,final,8,4,the,4.076169013977051
critical,2,ambiguous,long,,final,8,5,baby,2.250514030456543
critical,2,ambiguous,long,,final,8,6,fidgeting,23.682716608047485
critical,2,ambiguous,long,,final,8,7,restlessly,10.920811738818884
critical,2,ambiguous,long,,final,8,8,cried.,22.05994153022766
critical,2,ambiguous,short,,final,6,0,While,12.691075325012209
critical,2,ambiguous,short,,final,6,1,the,2.5171022415161133
critical,2,ambiguous,short,,final,6,2,mom,15.848740577697754
critical,2,ambiguous,short,,final,6,3,dressed,13.292096138000488
critical,2,ambiguous,short,,final,6,4,the,4.076169013977051
critical,2,ambiguous,short,,final,6,5,baby,2.250514030456543
critical,2,ambiguous,short,,final,6,6,cried.,19.51215696334839
critical,2,unambiguous,long,comma,final,8,0,While,12.691075325012209
critical,2,unambiguous,long,comma,final,8,1,the,2.5171022415161133
critical,2,unambiguous,long,comma,final,8,2,mom,15.848740577697754
critical,2,unambiguous,long,comma,final,8,3,"dressed,",18.788819789886475
critical,2,unambiguous,long,comma,final,8,4,the,2.630176067352295
critical,2,unambiguous,long,comma,final,8,5,baby,3.8759689331054688
critical,2,unambiguous,long,comma,final,8,6,fidgeting,19.953068017959595
critical,2,unambiguous,long,comma,final,8,7,restlessly,11.80847879871726
critical,2,unambiguous,long,comma,final,8,8,cried.,14.982086896896362
critical,2,unambiguous,short,comma,final,6,0,While,12.691075325012209
critical,2,unambiguous,short,comma,final,6,1,the,2.5171022415161133
critical,2,unambiguous,short,comma,final,6,2,mom,15.848740577697754
critical,2,unambiguous,short,comma,final,6,3,"dressed,",18.788819789886475
critical,2,unambiguous,short,comma,final,6,4,the,2.630176067352295
critical,2,unambiguous,short,comma,final,6,5,baby,3.8759689331054688
critical,2,unambiguous,short,comma,final,6,6,cried.,7.302053213119507
critical,2,unambiguous,long,object,final,9,0,While,12.691075325012209
critical,2,unambiguous,long,object,final,9,1,the,2.5171022415161133
critical,2,unambiguous,long,object,final,9,2,mom,15.848740577697754
critical,2,unambiguous,long,object,final,9,3,dressed,13.292096138000488
critical,2,unambiguous,long,object,final,9,4,herself,2.7476375102996826
critical,2,unambiguous,long,object,final,9,5,the,8.65439224243164
critical,2,unambiguous,long,object,final,9,6,baby,6.78464937210083
critical,2,unambiguous,long,object,final,9,7,fidgeting,22.285866737365723
critical,2,unambiguous,long,object,final,9,8,restlessly,11.088204622268677
critical,2,unambiguous,long,object,final,9,9,cried.,17.907723426818848
critical,2,unambiguous,short,object,final,7,0,While,12.691075325012209
critical,2,unambiguous,short,object,final,7,1,the,2.5171022415161133
critical,2,unambiguous,short,object,final,7,2,mom,15.848740577697754
critical,2,unambiguous,short,object,final,7,3,dressed,13.292096138000488
critical,2,unambiguous,short,object,final,7,4,herself,2.7476375102996826
critical,2,unambiguous,short,object,final,7,5,the,8.65439224243164
critical,2,unambiguous,short,object,final,7,6,baby,6.78464937210083
critical,2,unambiguous,short,object,final,7,7,cried.,12.714919090270996
critical,2,ambiguous,long,,nonfinal,8,0,While,12.691075325012209
critical,2,ambiguous,long,,nonfinal,8,1,the,2.5171022415161133
critical,2,ambiguous,long,,nonfinal,8,2,mom,15.848740577697754
critical,2,ambiguous,long,,nonfinal,8,3,dressed,13.292096138000488
critical,2,ambiguous,long,,nonfinal,8,4,the,4.076169013977051
critical,2,ambiguous,long,,nonfinal,8,5,baby,2.250514030456543
critical,2,ambiguous,long,,nonfinal,8,6,fidgeting,23.682716608047485
critical,2,ambiguous,long,,nonfinal,8,7,restlessly,10.920811738818884
critical,2,ambiguous,long,,nonfinal,8,8,cried,18.142732620239254
critical,2,ambiguous,long,,nonfinal,8,9,loudly,5.833917140960693
critical,2,ambiguous,long,,nonfinal,8,10,in,3.189039945602417
critical,2,ambiguous,long,,nonfinal,8,11,her,2.8889811038970947
critical,2,ambiguous,long,,nonfinal,8,12,crib.,7.573427781462669
critical,2,ambiguous,short,,nonfinal,6,0,While,12.691075325012209
critical,2,ambiguous,short,,nonfinal,6,1,the,2.5171022415161133
critical,2,ambiguous,short,,nonfinal,6,2,mom,15.848740577697754
critical,2,ambiguous,short,,nonfinal,6,3,dressed,13.292096138000488
critical,2,ambiguous,short,,nonfinal,6,4,the,4.076169013977051
critical,2,ambiguous,short,,nonfinal,6,5,baby,2.250514030456543
critical,2,ambiguous,short,,nonfinal,6,6,cried,16.21849250793457
critical,2,ambiguous,short,,nonfinal,6,7,loudly,5.634435176849365
critical,2,ambiguous,short,,nonfinal,6,8,in,3.409763813018799
critical,2,ambiguous,short,,nonfinal,6,9,her,2.855286121368408
critical,2,ambiguous,short,,nonfinal,6,10,crib.,7.188056271523237
critical,2,unambiguous,long,comma,nonfinal,8,0,While,12.691075325012209
critical,2,unambiguous,long,comma,nonfinal,8,1,the,2.5171022415161133
critical,2,unambiguous,long,comma,nonfinal,8,2,mom,15.848740577697754
critical,2,unambiguous,long,comma,nonfinal,8,3,"dressed,",18.788819789886475
critical,2,unambiguous,long,comma,nonfinal,8,4,the,2.630176067352295
critical,2,unambiguous,long,comma,nonfinal,8,5,baby,3.8759689331054688
critical,2,unambiguous,long,comma,nonfinal,8,6,fidgeting,19.953068017959595
critical,2,unambiguous,long,comma,nonfinal,8,7,restlessly,11.80847879871726
critical,2,unambiguous,long,comma,nonfinal,8,8,cried,13.049007415771484
critical,2,unambiguous,long,comma,nonfinal,8,9,loudly,5.992260932922363
critical,2,unambiguous,long,comma,nonfinal,8,10,in,3.186257839202881
critical,2,unambiguous,long,comma,nonfinal,8,11,her,2.6610682010650635
critical,2,unambiguous,long,comma,nonfinal,8,12,crib.,4.635821409523487
critical,2,unambiguous,short,comma,nonfinal,6,0,While,12.691075325012209
critical,2,unambiguous,short,comma,nonfinal,6,1,the,2.5171022415161133
critical,2,unambiguous,short,comma,nonfinal,6,2,mom,15.848740577697754
critical,2,unambiguous,short,comma,nonfinal,6,3,"dressed,",18.788819789886475
critical,2,unambiguous,short,comma,nonfinal,6,4,the,2.630176067352295
critical,2,unambiguous,short,comma,nonfinal,6,5,baby,3.8759689331054688
critical,2,unambiguous,short,comma,nonfinal,6,6,cried,5.798707485198975
critical,2,unambiguous,short,comma,nonfinal,6,7,loudly,5.91295862197876
critical,2,unambiguous,short,comma,nonfinal,6,8,in,4.088682651519775
critical,2,unambiguous,short,comma,nonfinal,6,9,her,2.796224594116211
critical,2,unambiguous,short,comma,nonfinal,6,10,crib.,4.294933702796698
critical,2,unambiguous,long,object,nonfinal,9,0,While,12.691075325012209
critical,2,unambiguous,long,object,nonfinal,9,1,the,2.5171022415161133
critical,2,unambiguous,long,object,nonfinal,9,2,mom,15.848740577697754
critical,2,unambiguous,long,object,nonfinal,9,3,dressed,13.292096138000488
critical,2,unambiguous,long,object,nonfinal,9,4,herself,2.7476375102996826
critical,2,unambiguous,long,object,nonfinal,9,5,the,8.65439224243164
critical,2,unambiguous,long,object,nonfinal,9,6,baby,6.78464937210083
critical,2,unambiguous,long,object,nonfinal,9,7,fidgeting,22.285866737365723
critical,2,unambiguous,long,object,nonfinal,9,8,restlessly,11.088204622268677
critical,2,unambiguous,long,object,nonfinal,9,9,cried,14.73637580871582
critical,2,unambiguous,long,object,nonfinal,9,10,loudly,5.692050457000732
critical,2,unambiguous,long,object,nonfinal,9,11,in,3.376572370529175
critical,2,unambiguous,long,object,nonfinal,9,12,her,2.7625503540039062
critical,2,unambiguous,long,object,nonfinal,9,13,crib.,5.91485049854964
critical,2,unambiguous,short,object,nonfinal,7,0,While,12.691075325012209
critical,2,unambiguous,short,object,nonfinal,7,1,the,2.5171022415161133
critical,2,unambiguous,short,object,nonfinal,7,2,mom,15.848740577697754
critical,2,unambiguous,short,object,nonfinal,7,3,dressed,13.292096138000488
critical,2,unambiguous,short,object,nonfinal,7,4,herself,2.7476375102996826
critical,2,unambiguous,short,object,nonfinal,7,5,the,8.65439224243164
critical,2,unambiguous,short,object,nonfinal,7,6,baby,6.78464937210083
critical,2,unambiguous,short,object,nonfinal,7,7,cried,10.045093536376951
critical,2,unambiguous,short,object,nonfinal,7,8,loudly,5.68900728225708
critical,2,unambiguous,short,object,nonfinal,7,9,in,3.361872673034668
critical,2,unambiguous,short,object,nonfinal,7,10,her,2.96299409866333
critical,2,unambiguous,short,object,nonfinal,7,11,crib.,5.170167243108153
critical,3,ambiguous,long,,final,10,0,When,11.923199653625488
critical,3,ambiguous,long,,final,10,1,the,3.13087797164917
critical,3,ambiguous,long,,final,10,2,stern,15.304515838623049
critical,3,ambiguous,long,,final,10,3,boss,16.491365432739258
critical,3,ambiguous,long,,final,10,4,entered,10.692870140075684
critical,3,ambiguous,long,,final,10,5,the,0.8862541317939758
critical,3,ambiguous,long,,final,10,6,office,7.76381254196167
critical,3,ambiguous,long,,final,10,7,bustling,17.577479302883148
critical,3,ambiguous,long,,final,10,8,with,0.7641890645027161
critical,3,ambiguous,long,,final,10,9,activity,2.323391914367676
critical,3,ambiguous,long,,final,10,10,quieted.,26.08363950252533
critical,3,ambiguous,short,,final,7,0,When,11.923199653625488
critical,3,ambiguous,short,,final,7,1,the,3.13087797164917
critical,3,ambiguous,short,,final,7,2,stern,15.304515838623049
critical,3,ambiguous,short,,final,7,3,boss,16.491365432739258
critical,3,ambiguous,short,,final,7,4,entered,10.692870140075684
critical,3,ambiguous,short,,final,7,5,the,0.8862541317939758
critical,3,ambiguous,short,,final,7,6,office,7.76381254196167
critical,3,ambiguous,short,,final,7,7,quieted.,27.540557861328125
critical,3,unambiguous,long,comma,final,10,0,When,11.923199653625488
critical,3,unambiguous,long,comma,final,10,1,the,3.13087797164917
critical,3,unambiguous,long,comma,final,10,2,stern,15.304515838623049
critical,3,unambiguous,long,comma,final,10,3,boss,16.491365432739258
critical,3,unambiguous,long,comma,final,10,4,"entered,",13.199454069137571
critical,3,unambiguous,long,comma,final,10,5,the,2.481203317642212
critical,3,unambiguous,long,comma,final,10,6,office,14.545626640319824
critical,3,unambiguous,long,comma,final,10,7,bustling,13.800709009170532
critical,3,unambiguous,long,comma,final,10,8,with,1.0763747692108154
critical,3,unambiguous,long,comma,final,10,9,activity,2.391925096511841
critical,3,unambiguous,long,comma,final,10,10,quieted.,17.50512206554413
critical,3,unambiguous,short,comma,final,7,0,When,11.923199653625488
critical,3,unambiguous,short,comma,final,7,1,the,3.13087797164917
critical,3,unambiguous,short,comma,final,7,2,stern,15.304515838623049
critical,3,unambiguous,short,comma,final,7,3,boss,16.491365432739258
critical,3,unambiguous,short,comma,final,7,4,"entered,",13.199454069137571
critical,3,unambiguous,short,comma,final,7,5,the,2.481203317642212
critical,3,unambiguous,short,comma,final,7,6,office,14.545626640319824
critical,3,unambiguous,short,comma,final,7,7,quieted.,17.539756417274475
critical,3,unambiguous,long,object,final,12,0,When,11.923199653625488
critical,3,unambiguous,long,object,final,12,1,the,3.13087797164917
critical,3,unambiguous,long,object,final,12,2,stern,15.304515838623049
critical,3,unambiguous,long,object,final,12,3,boss,16.491365432739258
critical,3,unambiguous,long,object,final,12,4,entered,10.692870140075684
critical,3,unambiguous,long,object,final,12,5,the,0.8862541317939758
critical,3,unambiguous,long,object,final,12,6,room,2.0106146335601807
critical,3,unambiguous,long,object,final,12,7,the,5.304356098175049
critical,3,unambiguous,long,object,final,12,8,office,14.251924514770508
critical,3,unambiguous,long,object,final,12,9,bustling,15.017857551574709
critical,3,unambiguous,long,object,final,12,10,with,0.8464600443840027
critical,3,unambiguous,long,object,final,12,11,activity,1.9122984409332275
critical,3,unambiguous,long,object,final,12,12,quieted.,19.85791701078415
