item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,,final,8,0,As,18.927881240844727
critical,1,ambiguous,long,,final,8,1,the,3.407918691635132
critical,1,ambiguous,long,,final,8,2,professor,15.210840225219728
critical,1,ambiguous,long,,final,8,3,wrote,9.697158813476562
critical,1,ambiguous,long,,final,8,4,the,7.237083435058594
critical,1,ambiguous,long,,final,8,5,textbook,7.314752101898193
critical,1,ambiguous,long,,final,8,6,on,3.969909906387329
critical,1,ambiguous,long,,final,8,7,biology,9.521876335144045
critical,1,ambiguous,long,,final,8,8,grew.,25.46186876296997
critical,1,ambiguous,short,,final,6,0,As,18.927881240844727
critical,1,ambiguous,short,,final,6,1,the,3.407918691635132
critical,1,ambiguous,short,,final,6,2,professor,15.210840225219728
critical,1,ambiguous,short,,final,6,3,wrote,9.697158813476562
critical,1,ambiguous,short,,final,6,4,the,7.237083435058594
critical,1,ambiguous,short,,final,6,5,textbook,7.314752101898193
critical,1,ambiguous,short,,final,6,6,grew.,21.795433044433597
critical,1,unambiguous,long,comma,final,8,0,As,18.927881240844727
critical,1,unambiguous,long,comma,final,8,1,the,3.407918691635132
critical,1,unambiguous,long,comma,final,8,2,professor,15.210840225219728
critical,1,unambiguous,long,comma,final,8,3,"wrote,",11.120275378227234
critical,1,unambiguous,long,comma,final,8,4,the,3.17158842086792
critical,1,unambiguous,long,comma,final,8,5,textbook,10.965484619140623
critical,1,unambiguous,long,comma,final,8,6,on,7.647282600402832
critical,1,unambiguous,long,comma,final,8,7,biology,8.888592720031738
critical,1,unambiguous,long,comma,final,8,8,grew.,21.08991241455078
critical,1,unambiguous,short,comma,final,6,0,As,18.927881240844727
critical,1,unambiguous,short,comma,final,6,1,the,3.407918691635132
critical,1,unambiguous,short,comma,final,6,2,professor,15.210840225219728
critical,1,unambiguous,short,comma,final,6,3,"wrote,",11.120275378227234
critical,1,unambiguous,short,comma,final,6,4,the,3.17158842086792
critical,1,unambiguous,short,comma,final,6,5,textbook,10.965484619140623
critical,1,unambiguous,short,comma,final,6,6,grew.,19.82145643234253
critical,1,unambiguous,long,object,final,11,0,As,18.927881240844727
critical,1,unambiguous,long,object,final,11,1,the,3.407918691635132
critical,1,unambiguous,long,object,final,11,2,professor,15.210840225219728
critical,1,unambiguous,long,object,final,11,3,wrote,9.697158813476562
critical,1,unambiguous,long,object,final,11,4,the,7.237083435058594
critical,1,unambiguous,long,object,final,11,5,new,8.809418678283691
critical,1,unambiguous,long,object,final,11,6,chapter,5.599875926971436
critical,1,unambiguous,long,object,final,11,7,the,7.812541484832764
critical,1,unambiguous,long,object,final,11,8,textbook,9.584805488586426
critical,1,unambiguous,long,object,final,11,9,on,8.159280776977539
critical,1,unambiguous,long,object,final,11,10,biology,8.89168930053711
critical,1,unambiguous,long,object,final,11,11,grew.,17.875718116760254
critical,1,unambiguous,short,object,final,9,0,As,18.927881240844727
critical,1,unambiguous,short,object,final,9,1,the,3.407918691635132
critical,1,unambiguous,short,object,final,9,2,professor,15.210840225219728
critical,1,unambiguous,short,object,final,9,3,wrote,9.697158813476562
critical,1,unambiguous,short,object,final,9,4,the,7.237083435058594
critical,1,unambiguous,short,object,final,9,5,new,8.809418678283691
critical,1,unambiguous,short,object,final,9,6,chapter,5.599875926971436
critical,1,unambiguous,short,object,final,9,7,the,7.812541484832764
critical,1,unambiguous,short,object,final,9,8,textbook,9.584805488586426
critical,1,unambiguous,short,object,final,9,9,grew.,18.181430339813232
critical,1,ambiguous,long,,nonfinal,8,0,As,18.927881240844727
critical,1,ambiguous,long,,nonfinal,8,1,the,3.407918691635132
critical,1,ambiguous,long,,nonfinal,8,2,professor,15.210840225219728
critical,1,ambiguous,long,,nonfinal,8,3,wrote,9.697158813476562
critical,1,ambiguous,long,,nonfinal,8,4,the,7.237083435058594
critical,1,ambiguous,long,,nonfinal,8,5,textbook,7.314752101898193
critical,1,ambiguous,long,,nonfinal,8,6,on,3.969909906387329
critical,1,ambiguous,long,,nonfinal,8,7,biology,9.521876335144045
critical,1,ambiguous,long,,nonfinal,8,8,grew,20.12607955932617
critical,1,ambiguous,long,,nonfinal,8,9,much,9.396217346191406
critical,1,ambiguous,long,,nonfinal,8,10,longer,4.433536529541016
critical,1,ambiguous,long,,nonfinal,8,11,than,2.713196992874145
critical,1,ambiguous,long,,nonfinal,8,12,expected.,4.966832876205444
critical,1,ambiguous,short,,nonfinal,6,0,As,18.927881240844727
critical,1,ambiguous,short,,nonfinal,6,1,the,3.407918691635132
critical,1,ambiguous,short,,nonfinal,6,2,professor,15.210840225219728
critical,1,ambiguous,short,,nonfinal,6,3,wrote,9.697158813476562
critical,1,ambiguous,short,,nonfinal,6,4,the,7.237083435058594
critical,1,ambiguous,short,,nonfinal,6,5,textbook,7.314752101898193
critical,1,ambiguous,short,,nonfinal,6,6,grew,16.59760856628418
critical,1,ambiguous,short,,nonfinal,6,7,much,9.726481437683104
critical,1,ambiguous,short,,nonfinal,6,8,longer,4.582520484924316
critical,1,ambiguous,short,,nonfinal,6,9,than,2.479407787322998
critical,1,ambiguous,short,,nonfinal,6,10,expected.,4.763293385505676
critical,1,unambiguous,long,comma,nonfinal,8,0,As,18.927881240844727
critical,1,unambiguous,long,comma,nonfinal,8,1,the,3.407918691635132
critical,1,unambiguous,long,comma,nonfinal,8,2,professor,15.210840225219728
critical,1,unambiguous,long,comma,nonfinal,8,3,"wrote,",11.120275378227234
critical,1,unambiguous,long,comma,nonfinal,8,4,the,3.17158842086792
critical,1,unambiguous,long,comma,nonfinal,8,5,textbook,10.965484619140623
critical,1,unambiguous,long,comma,nonfinal,8,6,on,7.647282600402832
critical,1,unambiguous,long,comma,nonfinal,8,7,biology,8.888592720031738
critical,1,unambiguous,long,comma,nonfinal,8,8,grew,12.256484985351562
critical,1,unambiguous,long,comma,nonfinal,8,9,much,9.152442932128906
critical,1,unambiguous,long,comma,nonfinal,8,10,longer,3.948808193206787
critical,1,unambiguous,long,comma,nonfinal,8,11,than,1.5920804738998413
critical,1,unambiguous,long,comma,nonfinal,8,12,expected.,6.5057982206344604
critical,1,unambiguous,short,comma,nonfinal,6,0,As,18.927881240844727
critical,1,unambiguous,short,comma,nonfinal,6,1,the,3.407918691635132
critical,1,unambiguous,short,comma,nonfinal,6,2,professor,15.210840225219728
critical,1,unambiguous,short,comma,nonfinal,6,3,"wrote,",11.120275378227234
critical,1,unambiguous,short,comma,nonfinal,6,4,the,3.17158842086792
critical,1,unambiguous,short,comma,nonfinal,6,5,textbook,10.965484619140623
critical,1,unambiguous,short,comma,nonfinal,6,6,grew,12.22723388671875
critical,1,unambiguous,short,comma,nonfinal,6,7,much,9.68032169342041
critical,1,unambiguous,short,comma,nonfinal,6,8,longer,4.194969177246094
critical,1,unambiguous,short,comma,nonfinal,6,9,than,1.7430235147476196
critical,1,unambiguous,short,comma,nonfinal,6,10,expected.,6.075547218322754
critical,1,unambiguous,long,object,nonfinal,11,0,As,18.927881240844727
critical,1,unambiguous,long,object,nonfinal,11,1,the,3.407918691635132
critical,1,unambiguous,long,object,nonfinal,11,2,professor,15.210840225219728
critical,1,unambiguous,long,object,nonfinal,11,3,wrote,9.697158813476562
critical,1,unambiguous,long,object,nonfinal,11,4,the,7.237083435058594
critical,1,unambiguous,long,object,nonfinal,11,5,new,8.809418678283691
critical,1,unambiguous,long,object,nonfinal,11,6,chapter,5.599875926971436
critical,1,unambiguous,long,object,nonfinal,11,7,the,7.812541484832764
critical,1,unambiguous,long,object,nonfinal,11,8,textbook,9.584805488586426
critical,1,unambiguous,long,object,nonfinal,11,9,on,8.159280776977539
critical,1,unambiguous,long,object,nonfinal,11,10,biology,8.89168930053711
critical,1,unambiguous,long,object,nonfinal,11,11,grew,12.976686477661133
critical,1,unambiguous,long,object,nonfinal,11,12,much,9.199566841125488
critical,1,unambiguous,long,object,nonfinal,11,13,longer,3.3151209354400635
critical,1,unambiguous,long,object,nonfinal,11,14,than,2.0392134189605717
critical,1,unambiguous,long,object,nonfinal,11,15,expected.,4.552372455596924
critical,1,unambiguous,short,object,nonfinal,9,0,As,18.927881240844727
critical,1,unambiguous,short,object,nonfinal,9,1,the,3.407918691635132
critical,1,unambiguous,short,object,nonfinal,9,2,professor,15.210840225219728
critical,1,unambiguous,short,object,nonfinal,9,3,wrote,9.697158813476562
critical,1,unambiguous,short,object,nonfinal,9,4,the,7.237083435058594
critical,1,unambiguous,short,object,nonfinal,9,5,new,8.809418678283691
critical,1,unambiguous,short,object,nonfinal,9,6,chapter,5.599875926971436
critical,1,unambiguous,short,object,nonfinal,9,7,the,7.812541484832764
critical,1,unambiguous,short,object,nonfinal,9,8,textbook,9.584805488586426
critical,1,unambiguous,short,object,nonfinal,9,9,grew,13.33001708984375
critical,1,unambiguous,short,object,nonfinal,9,10,much,9.23963451385498
critical,1,unambiguous,short,object,nonfinal,9,11,longer,4.592514514923096
critical,1,unambiguous,short,object,nonfinal,9,12,than,2.3251023292541504
critical,1,unambiguous,short,object,nonfinal,9,13,expected.,4.750778436660767
critical,2,ambiguous,long,,final,8,0,While,22.071142196655277
critical,2,ambiguous,long,,final,8,1,the,2.8811771869659424
critical,2,ambiguous,long,,final,8,2,mom,14.72856330871582
critical,2,ambiguous,long,,final,8,3,dressed,12.41756820678711
critical,2,ambiguous,long,,final,8,4,the,3.97955322265625
critical,2,ambiguous,long,,final,8,5,baby,3.2116355895996094
critical,2,ambiguous,long,,final,8,6,fidgeting,24.28693270683289
critical,2,ambiguous,long,,final,8,7,restlessly,12.337538100779057
critical,2,ambiguous,long,,final,8,8,cried.,21.56227302551269
critical,2,ambiguous,short,,final,6,0,While,22.071142196655277
critical,2,ambiguous,short,,final,6,1,the,2.8811771869659424
critical,2,ambiguous,short,,final,6,2,mom,14.72856330871582
critical,2,ambiguous,short,,final,6,3,dressed,12.41756820678711
critical,2,ambiguous,short,,final,6,4,the,3.97955322265625
critical,2,ambiguous,short,,final,6,5,baby,3.2116355895996094
critical,2,ambiguous,short,,final,6,6,cried.,21.75107979774475
critical,2,unambiguous,long,comma,final,8,0,While,22.071142196655277
critical,2,unambiguous,long,comma,final,8,1,the,2.8811771869659424
critical,2,unambiguous,long,comma,final,8,2,mom,14.72856330871582
critical,2,unambiguous,long,comma,final,8,3,"dressed,",21.47487163543701
critical,2,unambiguous,long,comma,final,8,4,the,1.7664448022842407
critical,2,unambiguous,long,comma,final,8,5,baby,5.043667793273926
critical,2,unambiguous,long,comma,final,8,6,fidgeting,21.133442282676697
critical,2,unambiguous,long,comma,final,8,7,restlessly,13.174374878406525
critical,2,unambiguous,long,comma,final,8,8,cried.,13.728361129760742
critical,2,unambiguous,short,comma,final,6,0,While,22.071142196655277
critical,2,unambiguous,short,comma,final,6,1,the,2.8811771869659424
critical,2,unambiguous,short,comma,final,6,2,mom,14.72856330871582
critical,2,unambiguous,short,comma,final,6,3,"dressed,",21.47487163543701
critical,2,unambiguous,short,comma,final,6,4,the,1.7664448022842407
critical,2,unambiguous,short,comma,final,6,5,baby,5.043667793273926
critical,2,unambiguous,short,comma,final,6,6,cried.,6.884475231170654
critical,2,unambiguous,long,object,final,9,0,While,22.071142196655277
critical,2,unambiguous,long,object,final,9,1,the,2.8811771869659424
critical,2,unambiguous,long,object,final,9,2,mom,14.72856330871582
critical,2,unambiguous,long,object,final,9,3,dressed,12.41756820678711
critical,2,unambiguous,long,object,final,9,4,herself,5.7795844078063965
critical,2,unambiguous,long,object,final,9,5,the,8.724095344543457
critical,2,unambiguous,long,object,final,9,6,baby,7.4304938316345215
critical,2,unambiguous,long,object,final,9,7,fidgeting,22.862287044525143
critical,2,unambiguous,long,object,final,9,8,restlessly,10.211088180541992
