item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,,final,8,0,As,16.94021987915039
critical,1,ambiguous,long,,final,8,1,the,3.2030928134918213
critical,1,ambiguous,long,,final,8,2,professor,13.866215705871582
critical,1,ambiguous,long,,final,8,3,wrote,7.725780010223389
critical,1,ambiguous,long,,final,8,4,the,3.88974666595459
critical,1,ambiguous,long,,final,8,5,textbook,8.9677095413208
critical,1,ambiguous,long,,final,8,6,on,2.8299152851104736
critical,1,ambiguous,long,,final,8,7,biology,10.380993843078612
critical,1,ambiguous,long,,final,8,8,grew.,31.51016998291016
critical,1,ambiguous,short,,final,6,0,As,16.94021987915039
critical,1,ambiguous,short,,final,6,1,the,3.2030928134918213
critical,1,ambiguous,short,,final,6,2,professor,13.866215705871582
critical,1,ambiguous,short,,final,6,3,wrote,7.725780010223389
critical,1,ambiguous,short,,final,6,4,the,3.88974666595459
critical,1,ambiguous,short,,final,6,5,textbook,8.9677095413208
critical,1,ambiguous,short,,final,6,6,grew.,30.28990364074707
critical,1,unambiguous,long,comma,final,8,0,As,16.94021987915039
critical,1,unambiguous,long,comma,final,8,1,the,3.2030928134918213
critical,1,unambiguous,long,comma,final,8,2,professor,13.866215705871582
critical,1,unambiguous,long,comma,final,8,3,"wrote,",10.130565166473389
critical,1,unambiguous,long,comma,final,8,4,the,3.695321083068848
critical,1,unambiguous,long,comma,final,8,5,textbook,11.923014640808104
critical,1,unambiguous,long,comma,final,8,6,on,4.950634956359863
critical,1,unambiguous,long,comma,final,8,7,biology,10.253314018249512
critical,1,unambiguous,long,comma,final,8,8,grew.,18.56166648864746
critical,1,unambiguous,short,comma,final,6,0,As,16.94021987915039
critical,1,unambiguous,short,comma,final,6,1,the,3.2030928134918213
critical,1,unambiguous,short,comma,final,6,2,professor,13.866215705871582
critical,1,unambiguous,short,comma,final,6,3,"wrote,",10.130565166473389
critical,1,unambiguous,short,comma,final,6,4,the,3.695321083068848
critical,1,unambiguous,short,comma,final,6,5,textbook,11.923014640808104
critical,1,unambiguous,short,comma,final,6,6,grew.,20.0695219039917
critical,1,unambiguous,long,object,final,11,0,As,16.94021987915039
critical,1,unambiguous,long,object,final,11,1,the,3.2030928134918213
critical,1,unambiguous,long,object,final,11,2,professor,13.866215705871582
critical,1,unambiguous,long,object,final,11,3,wrote,7.725780010223389
critical,1,unambiguous,long,object,final,11,4,the,3.88974666595459
critical,1,unambiguous,long,object,final,11,5,new,7.084210395812988
critical,1,unambiguous,long,object,final,11,6,chapter,6.513084888458252
critical,1,unambiguous,long,object,final,11,7,the,9.031989097595217
critical,1,unambiguous,long,object,final,11,8,textbook,11.459492683410645
critical,1,unambiguous,long,object,final,11,9,on,5.397074222564697
critical,1,unambiguous,long,object,final,11,10,biology,9.944592475891112
critical,1,unambiguous,long,object,final,11,11,grew.,16.719200611114502
critical,1,unambiguous,short,object,final,9,0,As,16.94021987915039
critical,1,unambiguous,short,object,final,9,1,the,3.2030928134918213
critical,1,unambiguous,short,object,final,9,2,professor,13.866215705871582
critical,1,unambiguous,short,object,final,9,3,wrote,7.725780010223389
critical,1,unambiguous,short,object,final,9,4,the,3.88974666595459
critical,1,unambiguous,short,object,final,9,5,new,7.084210395812988
critical,1,unambiguous,short,object,final,9,6,chapter,6.513084888458252
critical,1,unambiguous,short,object,final,9,7,the,9.031989097595217
critical,1,unambiguous,short,object,final,9,8,textbook,11.459492683410645
critical,1,unambiguous,short,object,final,9,9,grew.,15.989752531051636
critical,1,ambiguous,long,,nonfinal,8,0,As,16.94021987915039
