item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,long,,final,8,0,As,18.136812210083008
critical,1,ambiguous,long,,final,8,1,the,2.9871513843536377
critical,1,ambiguous,long,,final,8,2,professor,14.14887809753418
critical,1,ambiguous,long,,final,8,3,wrote,8.980669975280762
critical,1,ambiguous,long,,final,8,4,the,2.741282224655152
critical,1,ambiguous,long,,final,8,5,textbook,13.914044380187988
critical,1,ambiguous,long,,final,8,6,on,3.803788423538208
critical,1,ambiguous,long,,final,8,7,biology,14.309264183044434
critical,1,ambiguous,long,,final,8,8,grew.,25.80294418334961
critical,1,ambiguous,short,,final,6,0,As,18.136812210083008
critical,1,ambiguous,short,,final,6,1,the,2.9871513843536377
critical,1,ambiguous,short,,final,6,2,professor,14.14887809753418
critical,1,ambiguous,short,,final,6,3,wrote,8.980669975280762
critical,1,ambiguous,short,,final,6,4,the,2.741282224655152
critical,1,ambiguous,short,,final,6,5,textbook,13.914044380187988
critical,1,ambiguous,short,,final,6,6,grew.,22.213467359542847
critical,1,unambiguous,long,comma,final,8,0,As,18.136812210083008
critical,1,unambiguous,long,comma,final,8,1,the,2.9871513843536377
critical,1,unambiguous,long,comma,final,8,2,professor,14.14887809753418
critical,1,unambiguous,long,comma,final,8,3,"wrote,",12.128228902816772
critical,1,unambiguous,long,comma,final,8,4,the,2.817044734954834
critical,1,unambiguous,long,comma,final,8,5,textbook,10.742794036865234
critical,1,unambiguous,long,comma,final,8,6,on,6.482231140136719
critical,1,unambiguous,long,comma,final,8,7,biology,10.600875854492188
critical,1,unambiguous,long,comma,final,8,8,grew.,17.68885850906372
critical,1,unambiguous,short,comma,final,6,0,As,18.136812210083008
critical,1,unambiguous,short,comma,final,6,1,the,2.9871513843536377
critical,1,unambiguous,short,comma,final,6,2,professor,14.14887809753418
critical,1,unambiguous,short,comma,final,6,3,"wrote,",12.128228902816772
critical,1,unambiguous,short,comma,final,6,4,the,2.817044734954834
critical,1,unambiguous,short,comma,final,6,5,textbook,10.742794036865234
critical,1,unambiguous,short,comma,final,6,6,grew.,18.136011600494385
critical,1,unambiguous,long,object,final,11,0,As,18.136812210083008
critical,1,unambiguous,long,object,final,11,1,the,2.9871513843536377
critical,1,unambiguous,long,object,final,11,2,professor,14.14887809753418
critical,1,unambiguous,long,object,final,11,3,wrote,8.980669975280762
critical,1,unambiguous,long,object,final,11,4,the,2.741282224655152
critical,1,unambiguous,long,object,final,11,5,new,8.068161964416504
critical,1,unambiguous,long,object,final,11,6,chapter,8.596972465515137
critical,1,unambiguous,long,object,final,11,7,the,9.869702339172363
critical,1,unambiguous,long,object,final,11,8,textbook,10.11433219909668
critical,1,unambiguous,long,object,final,11,9,on,4.535000801086426
