item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,short,,final,6,0,As,19.274219512939453
critical,1,ambiguous,short,,final,6,1,the,2.6874070167541504
critical,1,ambiguous,short,,final,6,2,professor,14.692395210266112
critical,1,ambiguous,short,,final,6,3,wrote,8.224156379699707
critical,1,ambiguous,short,,final,6,4,the,6.405947685241699
critical,1,ambiguous,short,,final,6,5,textbook,8.086185455322266
critical,1,ambiguous,short,,final,6,6,grew.,24.753394603729248
critical,1,ambiguous,short,,nonfinal,6,0,As,19.274219512939453
critical,1,ambiguous,short,,nonfinal,6,1,the,2.6874070167541504
critical,1,ambiguous,short,,nonfinal,6,2,professor,14.692395210266112
critical,1,ambiguous,short,,nonfinal,6,3,wrote,8.224156379699707
critical,1,ambiguous,short,,nonfinal,6,4,the,6.405947685241699
critical,1,ambiguous,short,,nonfinal,6,5,textbook,8.086185455322266
critical,1,ambiguous,short,,nonfinal,6,6,grew,18.522829055786133
critical,1,ambiguous,short,,nonfinal,6,7,much,10.890816688537598
critical,1,ambiguous,short,,nonfinal,6,8,longer,4.537538051605225
critical,1,ambiguous,short,,nonfinal,6,9,than,3.6536378860473633
critical,1,ambiguous,short,,nonfinal,6,10,expected.,4.916071653366089
critical,1,ambiguous,long,,final,8,0,As,19.274219512939453
critical,1,ambiguous,long,,final,8,1,the,2.6874070167541504
critical,1,ambiguous,long,,final,8,2,professor,14.692395210266112
critical,1,ambiguous,long,,final,8,3,wrote,8.224156379699707
critical,1,ambiguous,long,,final,8,4,the,6.405947685241699
critical,1,ambiguous,long,,final,8,5,textbook,8.086185455322266
critical,1,ambiguous,long,,final,8,6,on,3.7436563968658447
critical,1,ambiguous,long,,final,8,7,biology,9.578630447387695
critical,1,ambiguous,long,,final,8,8,grew.,26.308337688446045
critical,1,ambiguous,long,,nonfinal,8,0,As,19.274219512939453
critical,1,ambiguous,long,,nonfinal,8,1,the,2.6874070167541504
critical,1,ambiguous,long,,nonfinal,8,2,professor,14.692395210266112
critical,1,ambiguous,long,,nonfinal,8,3,wrote,8.224156379699707
critical,1,ambiguous,long,,nonfinal,8,4,the,6.405947685241699
critical,1,ambiguous,long,,nonfinal,8,5,textbook,8.086185455322266
critical,1,ambiguous,long,,nonfinal,8,6,on,3.7436563968658447
critical,1,ambiguous,long,,nonfinal,8,7,biology,9.578630447387695
critical,1,ambiguous,long,,nonfinal,8,8,grew,19.573137283325195
critical,1,ambiguous,long,,nonfinal,8,9,much,10.351346015930176
critical,1,ambiguous,long,,nonfinal,8,10,longer,4.296067237854004
critical,1,ambiguous,long,,nonfinal,8,11,than,3.867124795913696
critical,1,ambiguous,long,,nonfinal,8,12,expected.,6.087422132492065
critical,1,unambiguous,short,comma,final,6,0,As,19.274219512939453
critical,1,unambiguous,short,comma,final,6,1,the,2.6874070167541504
critical,1,unambiguous,short,comma,final,6,2,professor,14.692395210266112
critical,1,unambiguous,short,comma,final,6,3,"wrote,",9.70779013633728
critical,1,unambiguous,short,comma,final,6,4,the,2.99960994720459
critical,1,unambiguous,short,comma,final,6,5,textbook,11.742850303649902
critical,1,unambiguous,short,comma,final,6,6,grew.,23.226778984069824
critical,1,unambiguous,short,comma,nonfinal,6,0,As,19.274219512939453
critical,1,unambiguous,short,comma,nonfinal,6,1,the,2.6874070167541504
critical,1,unambiguous,short,comma,nonfinal,6,2,professor,14.692395210266112
critical,1,unambiguous,short,comma,nonfinal,6,3,"wrote,",9.70779013633728
critical,1,unambiguous,short,comma,nonfinal,6,4,the,2.99960994720459
critical,1,unambiguous,short,comma,nonfinal,6,5,textbook,11.742850303649902
critical,1,unambiguous,short,comma,nonfinal,6,6,grew,13.117670059204102
critical,1,unambiguous,short,comma,nonfinal,6,7,much,11.237020492553713
critical,1,unambiguous,short,comma,nonfinal,6,8,longer,4.532793998718262
critical,1,unambiguous,short,comma,nonfinal,6,9,than,2.1874020099639893
critical,1,unambiguous,short,comma,nonfinal,6,10,expected.,7.017565488815308
critical,1,unambiguous,long,comma,final,8,0,As,19.274219512939453
critical,1,unambiguous,long,comma,final,8,1,the,2.6874070167541504
critical,1,unambiguous,long,comma,final,8,2,professor,14.692395210266112
critical,1,unambiguous,long,comma,final,8,3,"wrote,",9.70779013633728
critical,1,unambiguous,long,comma,final,8,4,the,2.99960994720459
critical,1,unambiguous,long,comma,final,8,5,textbook,11.742850303649902
critical,1,unambiguous,long,comma,final,8,6,on,6.851049900054932
critical,1,unambiguous,long,comma,final,8,7,biology,9.15333652496338
critical,1,unambiguous,long,comma,final,8,8,grew.,23.45047378540039
critical,1,unambiguous,long,comma,nonfinal,8,0,As,19.274219512939453
critical,1,unambiguous,long,comma,nonfinal,8,1,the,2.6874070167541504
critical,1,unambiguous,long,comma,nonfinal,8,2,professor,14.692395210266112
critical,1,unambiguous,long,comma,nonfinal,8,3,"wrote,",9.70779013633728
critical,1,unambiguous,long,comma,nonfinal,8,4,the,2.99960994720459
critical,1,unambiguous,long,comma,nonfinal,8,5,textbook,11.742850303649902
critical,1,unambiguous,long,comma,nonfinal,8,6,on,6.851049900054932
critical,1,unambiguous,long,comma,nonfinal,8,7,biology,9.15333652496338
critical,1,unambiguous,long,comma,nonfinal,8,8,grew,13.538084983825684
critical,1,unambiguous,long,comma,nonfinal,8,9,much,10.900814056396484
critical,1,unambiguous,long,comma,nonfinal,8,10,longer,4.386029243469238
critical,1,unambiguous,long,comma,nonfinal,8,11,than,1.902238130569458
critical,1,unambiguous,long,comma,nonfinal,8,12,expected.,7.08356237411499
critical,1,unambiguous,short,object,final,9,0,As,19.274219512939453
critical,1,unambiguous,short,object,final,9,1,the,2.6874070167541504
critical,1,unambiguous,short,object,final,9,2,professor,14.692395210266112
critical,1,unambiguous,short,object,final,9,3,wrote,8.224156379699707
critical,1,unambiguous,short,object,final,9,4,the,6.405947685241699
critical,1,unambiguous,short,object,final,9,5,new,9.220267295837402
critical,1,unambiguous,short,object,final,9,6,chapter,6.544971466064453
critical,1,unambiguous,short,object,final,9,7,the,9.83188247680664
critical,1,unambiguous,short,object,final,9,8,textbook,9.16102409362793
critical,1,unambiguous,short,object,final,9,9,grew.,16.09833526611328
critical,1,unambiguous,short,object,nonfinal,9,0,As,19.274219512939453
