item_category,item,ambiguity,length,resolution,finality,critical_word_index,word_index,word,surprisal
critical,1,ambiguous,short,,final,6,0,As,16.20795249938965
critical,1,ambiguous,short,,final,6,1,the,3.218590497970581
critical,1,ambiguous,short,,final,6,2,professor,13.55661392211914
critical,1,ambiguous,short,,final,6,3,wrote,6.474252223968506
critical,1,ambiguous,short,,final,6,4,the,8.26626205444336
critical,1,ambiguous,short,,final,6,5,textbook,11.799650192260742
critical,1,ambiguous,short,,final,6,6,grew.,23.7105131149292
critical,1,ambiguous,short,,nonfinal,6,0,As,16.20795249938965
critical,1,ambiguous,short,,nonfinal,6,1,the,3.218590497970581
critical,1,ambiguous,short,,nonfinal,6,2,professor,13.55661392211914
critical,1,ambiguous,short,,nonfinal,6,3,wrote,6.474252223968506
critical,1,ambiguous,short,,nonfinal,6,4,the,8.26626205444336
critical,1,ambiguous,short,,nonfinal,6,5,textbook,11.799650192260742
critical,1,ambiguous,short,,nonfinal,6,6,grew,17.232738494873047
critical,1,ambiguous,short,,nonfinal,6,7,much,8.189918518066406
critical,1,ambiguous,short,,nonfinal,6,8,longer,5.016940116882324
critical,1,ambiguous,short,,nonfinal,6,9,than,1.951565504074097
critical,1,ambiguous,short,,nonfinal,6,10,expected.,6.136120676994324
critical,1,ambiguous,long,,final,8,0,As,16.20795249938965
critical,1,ambiguous,long,,final,8,1,the,3.218590497970581
critical,1,ambiguous,long,,final,8,2,professor,13.55661392211914
critical,1,ambiguous,long,,final,8,3,wrote,6.474252223968506
critical,1,ambiguous,long,,final,8,4,the,8.26626205444336
critical,1,ambiguous,long,,final,8,5,textbook,11.799650192260742
critical,1,ambiguous,long,,final,8,6,on,4.297882080078125
critical,1,ambiguous,long,,final,8,7,biology,10.41401481628418
critical,1,ambiguous,long,,final,8,8,grew.,24.13396978378296
critical,1,ambiguous,long,,nonfinal,8,0,As,16.20795249938965
critical,1,ambiguous,long,,nonfinal,8,1,the,3.218590497970581
critical,1,ambiguous,long,,nonfinal,8,2,professor,13.55661392211914
critical,1,ambiguous,long,,nonfinal,8,3,wrote,6.474252223968506
critical,1,ambiguous,long,,nonfinal,8,4,the,8.26626205444336
critical,1,ambiguous,long,,nonfinal,8,5,textbook,11.799650192260742
critical,1,ambiguous,long,,nonfinal,8,6,on,4.297882080078125
critical,1,ambiguous,long,,nonfinal,8,7,biology,10.41401481628418
critical,1,ambiguous,long,,nonfinal,8,8,grew,18.21587371826172
critical,1,ambiguous,long,,nonfinal,8,9,much,7.917915821075439
critical,1,ambiguous,long,,nonfinal,8,10,longer,5.321170806884766
critical,1,ambiguous,long,,nonfinal,8,11,than,1.6805318593978882
critical,1,ambiguous,long,,nonfinal,8,12,expected.,7.658329784870148
critical,1,unambiguous,short,comma,final,6,0,As,16.20795249938965
critical,1,unambiguous,short,comma,final,6,1,the,3.218590497970581
critical,1,unambiguous,short,comma,final,6,2,professor,13.55661392211914
critical,1,unambiguous,short,comma,final,6,3,"wrote,",8.079232811927795
critical,1,unambiguous,short,comma,final,6,4,the,4.167824745178223
critical,1,unambiguous,short,comma,final,6,5,textbook,12.299715042114258
critical,1,unambiguous,short,comma,final,6,6,grew.,20.75749683380127
critical,1,unambiguous,short,comma,nonfinal,6,0,As,16.20795249938965
critical,1,unambiguous,short,comma,nonfinal,6,1,the,3.218590497970581
critical,1,unambiguous,short,comma,nonfinal,6,2,professor,13.55661392211914
critical,1,unambiguous,short,comma,nonfinal,6,3,"wrote,",8.079232811927795
critical,1,unambiguous,short,comma,nonfinal,6,4,the,4.167824745178223
critical,1,unambiguous,short,comma,nonfinal,6,5,textbook,12.299715042114258
critical,1,unambiguous,short,comma,nonfinal,6,6,grew,14.370859146118164
critical,1,unambiguous,short,comma,nonfinal,6,7,much,8.446511268615723
critical,1,unambiguous,short,comma,nonfinal,6,8,longer,5.79420280456543
critical,1,unambiguous,short,comma,nonfinal,6,9,than,1.5606008768081665
critical,1,unambiguous,short,comma,nonfinal,6,10,expected.,7.219726920127869
critical,1,unambiguous,long,comma,final,8,0,As,16.20795249938965
critical,1,unambiguous,long,comma,final,8,1,the,3.218590497970581
critical,1,unambiguous,long,comma,final,8,2,professor,13.55661392211914
critical,1,unambiguous,long,comma,final,8,3,"wrote,",8.079232811927795
critical,1,unambiguous,long,comma,final,8,4,the,4.167824745178223
critical,1,unambiguous,long,comma,final,8,5,textbook,12.299715042114258
critical,1,unambiguous,long,comma,final,8,6,on,4.555091381072998
critical,1,unambiguous,long,comma,final,8,7,biology,10.055365562438965
critical,1,unambiguous,long,comma,final,8,8,grew.,22.30717897415161
critical,1,unambiguous,long,comma,nonfinal,8,0,As,16.20795249938965
critical,1,unambiguous,long,comma,nonfinal,8,1,the,3.218590497970581
critical,1,unambiguous,long,comma,nonfinal,8,2,professor,13.55661392211914
critical,1,unambiguous,long,comma,nonfinal,8,3,"wrote,",8.079232811927795
critical,1,unambiguous,long,comma,nonfinal,8,4,the,4.167824745178223
critical,1,unambiguous,long,comma,nonfinal,8,5,textbook,12.299715042114258
critical,1,unambiguous,long,comma,nonfinal,8,6,on,4.555091381072998
critical,1,unambiguous,long,comma,nonfinal,8,7,biology,10.055365562438965
critical,1,unambiguous,long,comma,nonfinal,8,8,grew,14.36178970336914
critical,1,unambiguous,long,comma,nonfinal,8,9,much,8.379853248596191
critical,1,unambiguous,long,comma,nonfinal,8,10,longer,5.91703987121582
critical,1,unambiguous,long,comma,nonfinal,8,11,than,0.992733359336853
critical,1,unambiguous,long,comma,nonfinal,8,12,expected.,9.152272701263428
critical,1,unambiguous,short,object,final,9,0,As,16.20795249938965
critical,1,unambiguous,short,object,final,9,1,the,3.218590497970581
critical,1,unambiguous,short,object,final,9,2,professor,13.55661392211914
critical,1,unambiguous,short,object,final,9,3,wrote,6.474252223968506
critical,1,unambiguous,short,object,final,9,4,the,8.26626205444336
critical,1,unambiguous,short,object,final,9,5,new,8.029658317565918
critical,1,unambiguous,short,object,final,9,6,chapter,6.943233966827393
critical,1,unambiguous,short,object,final,9,7,the,9.415997505187988
critical,1,unambiguous,short,object,final,9,8,textbook,10.427046775817873
critical,1,unambiguous,short,object,final,9,9,grew.,16.80091619491577
critical,1,unambiguous,short,object,nonfinal,9,0,As,16.20795249938965
critical,1,unambiguous,short,object,nonfinal,9,1,the,3.218590497970581
critical,1,unambiguous,short,object,nonfinal,9,2,professor,13.55661392211914
critical,1,unambiguous,short,object,nonfinal,9,3,wrote,6.474252223968506
critical,1,unambiguous,short,object,nonfinal,9,4,the,8.26626205444336
critical,1,unambiguous,short,object,nonfinal,9,5,new,8.029658317565918
critical,1,unambiguous,short,object,nonfinal,9,6,chapter,6.943233966827393
critical,1,unambiguous,short,object,nonfinal,9,7,the,9.415997505187988
critical,1,unambiguous,short,object,nonfinal,9,8,textbook,10.427046775817873
critical,1,unambiguous,short,object,nonfinal,9,9,grew,12.502065658569336
critical,1,unambiguous,short,object,nonfinal,9,10,much,7.548877239227295
critical,1,unambiguous,short,object,nonfinal,9,11,longer,5.490941047668457
critical,1,unambiguous,short,object,nonfinal,9,12,than,2.413502693176269
critical,1,unambiguous,short,object,nonfinal,9,13,expected.,5.224486172199249
critical,1,unambiguous,long,object,final,11,0,As,16.20795249938965
critical,1,unambiguous,long,object,final,11,1,the,3.218590497970581
critical,1,unambiguous,long,object,final,11,2,professor,13.55661392211914
critical,1,unambiguous,long,object,final,11,3,wrote,6.474252223968506
critical,1,unambiguous,long,object,final,11,4,the,8.26626205444336
critical,1,unambiguous,long,object,final,11,5,new,8.029658317565918
critical,1,unambiguous,long,object,final,11,6,chapter,6.943233966827393
critical,1,unambiguous,long,object,final,11,7,the,9.415997505187988
critical,1,unambiguous,long,object,final,11,8,textbook,10.427046775817873
critical,1,unambiguous,long,object,final,11,9,on,5.224045753479004
critical,1,unambiguous,long,object,final,11,10,biology,10.204442977905272
critical,1,unambiguous,long,object,final,11,11,grew.,17.91771936416626
critical,1,unambiguous,long,object,nonfinal,11,0,As,16.20795249938965
critical,1,unambiguous,long,object,nonfinal,11,1,the,3.218590497970581
critical,1,unambiguous,long,object,nonfinal,11,2,professor,13.55661392211914
critical,1,unambiguous,long,object,nonfinal,11,3,wrote,6.474252223968506
